run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(23.100154066697637))","([], np.float64(60.08392707366246))","([], np.float64(60.10673145097847))"
2,"([10, 22, 30, 39], np.float64(43.49475442379256))","([22, 39], np.float64(56.62895217186863))","([22, 39], np.float64(60.18678846458877))"
3,"([0, 4, 5, 27], np.float64(24.71719816967233))","([27], np.float64(54.10926230728852))","([], np.float64(54.42211239257629))"
4,"([14, 34, 38, 49], np.float64(23.05339964676662))","([14, 34, 38, 49], np.float64(40.58790648518044))","([], np.float64(54.08927170122981))"
5,"([2, 11, 15, 36], np.float64(25.914299641055898))","([2, 11, 15, 36], np.float64(36.60095052604156))","([], np.float64(58.04357839519314))"
6,"([5, 17, 41, 44], np.float64(23.395505709842205))","([5, 17, 41, 44], np.float64(48.97658516183609))","([], np.float64(59.00259368286026))"
7,"([13, 17, 29, 45], np.float64(28.377858848138423))","([13, 17], np.float64(58.930372643623386))","([], np.float64(62.29065693019985))"
8,"([10, 19, 37, 48], np.float64(23.728179329615777))","([10, 19, 37, 48], np.float64(38.37569422360211))","([37, 48], np.float64(53.7355296669657))"
9,"([11, 36, 38, 44], np.float64(31.16440563481894))","([11, 36, 38, 44], np.float64(46.055085569506275))","([], np.float64(52.51907595781038))"
10,"([27, 29, 35, 41, 42], np.float64(30.894552961614654))","([27, 29, 41, 42], np.float64(46.75360216011229))","([], np.float64(55.56701772829966))"
11,"([19, 31, 46, 49], np.float64(23.283119957456023))","([], np.float64(53.18808238331788))","([], np.float64(53.160338115101474))"
12,"([7, 15, 38, 43], np.float64(26.210116240301527))","([], np.float64(59.61871605602097))","([], np.float64(59.618713393583896))"
13,"([8, 10, 31, 41], np.float64(23.016544315512846))","([8, 10, 31, 41], np.float64(50.2035451831817))","([], np.float64(58.26677091227113))"
14,"([16, 21, 40, 42], np.float64(23.30740642378842))","([21, 40], np.float64(53.137242581082305))","([], np.float64(59.66477952137675))"
