run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(15.135832737313418))","([2, 3, 13, 15], np.float64(24.242968288861903))","([], np.float64(60.18551517211498))"
2,"([10, 22, 30, 39], np.float64(23.391204763720626))","([10, 22, 30, 39], np.float64(46.22367648067008))","([10, 22, 30, 39], np.float64(31.865015669122634))"
3,"([0, 4, 5, 27], np.float64(22.589269898383208))","([0, 4, 5, 27], np.float64(0.046187655270210314))","([0, 4, 5, 27], np.float64(41.170899114136326))"
4,"([14, 34, 38, 49], np.float64(22.47895200663046))","([14, 34, 38, 49], np.float64(0.098496080083645))","([14, 34, 38, 49], np.float64(38.52958786256077))"
5,"([2, 11, 15, 36], np.float64(24.543391163916183))","([2, 11, 15, 36], np.float64(23.951381140072687))","([2, 11, 15, 36], np.float64(0.08553311172153497))"
6,"([5, 17, 41, 44], np.float64(21.23894310263655))","([5, 17, 41, 44], np.float64(20.415757946166618))","([17, 41], np.float64(48.826971772567724))"
7,"([13, 17, 29, 45], np.float64(26.929373943502632))","([13, 17, 29, 45], np.float64(44.42503586724152))","([], np.float64(62.2829454282712))"
8,"([10, 19, 37, 48], np.float64(22.993101494235844))","([10, 19, 37, 48], np.float64(0.31450218292991466))","([48], np.float64(60.73483489186918))"
9,"([11, 36, 38, 44], np.float64(23.460884090058464))","([11, 36, 38, 44], np.float64(18.355172175627164))","([11, 36, 38, 44], np.float64(0.2714672356496556))"
10,"([27, 29, 41, 42], np.float64(20.46839623738902))","([27, 29, 41, 42], np.float64(18.92241936523476))","([41, 42], np.float64(49.12789636622531))"
11,"([19, 31, 46, 49], np.float64(21.08180457874055))","([19, 31, 46, 49], np.float64(18.3274979828648))","([], np.float64(53.06712769979706))"
12,"([7, 15, 38, 43], np.float64(25.098415748191556))","([7, 15, 38, 43], np.float64(26.84553596879711))","([15, 38], np.float64(54.36641050600479))"
13,"([8, 10, 31, 41], np.float64(0.09604515877598535))","([8, 10, 31, 41], np.float64(0.0366627329523272))","([8, 10, 31, 41], np.float64(39.056472580871194))"
14,"([16, 21, 40, 42], np.float64(22.715455611631942))","([16, 21, 40, 42], np.float64(20.158213677285705))","([21, 40], np.float64(57.74041100114481))"
15,"([11, 19, 21, 41], np.float64(39.201536146293))","([11, 19, 21, 41], np.float64(0.04836940595530358))","([11, 19, 21, 41], np.float64(43.2236771998771))"
16,"([4, 9, 19, 40], np.float64(22.882015122857464))","([4, 9, 19, 40], np.float64(45.4638257127312))","([4, 9, 19, 40], np.float64(45.761693569174554))"
17,"([8, 18, 26, 27], np.float64(27.445194637691515))","([8, 18, 26, 27], np.float64(30.497632085534008))","([], np.float64(67.50638139827453))"
18,"([6, 31, 39, 48], np.float64(24.395435251256995))","([6, 31, 39, 48], np.float64(25.408333004778616))","([6, 31, 39, 48], np.float64(34.12837663742882))"
19,"([0, 2, 19, 32], np.float64(29.7890923055205))","([0, 2, 19, 32], np.float64(27.086870948241405))","([0, 2, 19, 32], np.float64(35.666947314272655))"
20,"([4, 7, 15, 28], np.float64(16.679382866369387))","([4, 7, 15, 28], np.float64(17.02557709050802))","([4, 7, 15, 28], np.float64(47.21732050813432))"
21,"([13, 15, 30, 41], np.float64(20.928635377500882))","([13, 15, 30, 41], np.float64(47.502464083547544))","([13, 15, 30, 41], np.float64(37.740817491284204))"
22,"([4, 6, 11, 46], np.float64(22.096980549481646))","([4, 6, 11, 46], np.float64(16.64644406427059))","([4, 6, 11, 46], np.float64(40.52251018621344))"
23,"([0, 6, 31, 42], np.float64(15.00843908957462))","([0, 6, 31, 42], np.float64(25.836836313229067))","([0, 6, 31, 42], np.float64(38.28335398210112))"
24,"([1, 8, 14, 37], np.float64(22.522181814611265))","([1, 8, 14, 37], np.float64(0.16298743576714853))","([1, 14], np.float64(49.36189378431365))"
25,"([2, 13, 20, 26], np.float64(23.919894954176467))","([2, 13, 20, 26], np.float64(0.05303173706478906))","([], np.float64(62.345127438726124))"
26,"([25, 38, 47, 48], np.float64(43.24943751734195))","([25, 38, 47, 48], np.float64(23.146212439496665))","([25, 38, 47, 48], np.float64(37.8354830932274))"
27,"([6, 9, 19, 44], np.float64(23.10308045971216))","([6, 9, 19, 44], np.float64(27.788780271531387))","([6, 9, 19, 44], np.float64(0.12020766344106204))"
28,"([19, 35, 38, 44], np.float64(22.717748015518453))","([19, 35, 38, 44], np.float64(0.040730991071509515))","([19, 35, 38, 44], np.float64(32.320687596351505))"
29,"([8, 13, 14, 38, 41], np.float64(23.556300743233002))","([8, 14, 38, 41], np.float64(0.09733736415888802))","([8, 14, 38, 41], np.float64(38.658672570456304))"
30,"([20, 21, 34, 35], np.float64(21.293467161077235))","([20, 21, 34, 35], np.float64(16.992919320546147))","([20, 21, 34, 35], np.float64(37.55836387783175))"
31,"([13, 26, 28, 37], np.float64(26.082495092867997))","([13, 26, 28, 37], np.float64(49.24388759834365))","([], np.float64(65.85573684540977))"
32,"([8, 9, 26, 37], np.float64(23.710614274462387))","([8, 37], np.float64(58.15894631329294))","([8, 37], np.float64(53.51427811111072))"
33,"([5, 23, 44, 45], np.float64(24.52313818235661))","([5, 23, 44, 45], np.float64(0.27267289664306743))","([23, 44], np.float64(50.57135764446448))"
