run_id,LNClassifier,RandomForestClassifier,XGBoostClassifier,baseline error
28,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.8666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.9)",0.23333333333333334
29,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(2), np.int64(3)], 0.9)",0.3
30,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.23333333333333334
31,"([np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 1.0)",0.23333333333333334
32,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 1.0)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.23333333333333334
33,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.9333333333333333)",0.3333333333333333
34,"([], 0.27586206896551724)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 1.0)","([np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)",0.27586206896551724
35,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 1.0)","([np.int64(2), np.int64(3)], 0.9333333333333333)",0.23333333333333334
36,"([np.int64(0), np.int64(2), np.int64(3)], 0.9)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.26666666666666666
37,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 0.9333333333333333)",0.26666666666666666
