run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(24.058343944698663))","([2, 3, 13, 15], np.float64(34.200276689241086))","([], np.float64(60.134819225060305))"
2,"([10, 22, 30, 39], np.float64(25.035743559427008))","([22, 39], np.float64(56.82123336495762))","([22, 39], np.float64(54.75286919810655))"
3,"([0, 4, 5, 27], np.float64(24.593330914475665))","([0, 4, 5, 27], np.float64(41.524387933087375))","([], np.float64(54.41230464525679))"
4,"([14, 34, 38, 49], np.float64(24.145829066680587))","([14, 34, 38, 49], np.float64(39.01307382602523))","([], np.float64(54.02917539903909))"
5,"([2, 11, 15, 36], np.float64(24.42774716928842))","([2, 11, 15, 36], np.float64(28.33476492066555))","([], np.float64(57.946791734437156))"
6,"([5, 17, 41, 44], np.float64(23.49851701426968))","([5, 17, 41, 44], np.float64(49.75064035643483))","([17, 41], np.float64(56.362444723964835))"
7,"([13, 17, 29, 45], np.float64(26.603388709026802))","([], np.float64(62.324194645478556))","([], np.float64(62.327788380790736))"
8,"([10, 19, 37, 48], np.float64(23.563814117404604))","([10, 19, 37, 48], np.float64(37.64190437642229))","([37, 48], np.float64(51.3492647705694))"
9,"([11, 36, 38, 44], np.float64(24.55721027103677))","([38, 44], np.float64(49.663677371202596))","([], np.float64(52.45849640078401))"
10,"([27, 29, 41, 42], np.float64(23.34895896942128))","([27, 29, 41, 42], np.float64(34.26627463818874))","([], np.float64(55.579096120902356))"
11,"([19, 31, 46, 49], np.float64(23.468048436232912))","([31, 49], np.float64(47.38182979993181))","([], np.float64(53.16005595343995))"
12,"([7, 15, 38, 43], np.float64(24.313630701185392))","([7, 15, 38, 43], np.float64(51.430964120062555))","([7, 43], np.float64(51.52318234646891))"
13,"([8, 10, 31, 41], np.float64(22.459031406417555))","([8, 10, 31, 41], np.float64(45.60293795131203))","([10, 31], np.float64(49.03834973410842))"
14,"([16, 21, 40, 42], np.float64(23.132841250222388))","([21, 40], np.float64(48.72974689574343))","([21, 40], np.float64(54.657068348703575))"
15,"([11, 19, 21, 41], np.float64(22.11457855506507))","([11, 19, 21, 41], np.float64(30.251419369525838))","([], np.float64(59.41694137752307))"
16,"([4, 9, 19, 40], np.float64(23.941256863767492))","([4, 9], np.float64(50.07931784779224))","([19, 40], np.float64(47.59224895729513))"
17,"([8, 18, 26, 27], np.float64(27.801625134742178))","([8, 27], np.float64(60.235884781445506))","([8, 27], np.float64(57.31892103580123))"
18,"([6, 31, 39, 48], np.float64(24.830707561154757))","([6, 31, 39, 48], np.float64(38.08780877527018))","([], np.float64(62.032072404857786))"
19,"([0, 2, 19, 32], np.float64(23.365755806593587))","([0, 2, 19, 32], np.float64(42.93860207395621))","([], np.float64(55.561195541512866))"
20,"([4, 7, 15, 28], np.float64(32.82275430660049))","([4, 7, 15, 28], np.float64(45.1580090181703))","([4, 28], np.float64(53.72500301848257))"
21,"([13, 15, 30, 41], np.float64(20.930986414911924))","([13, 15, 30, 41], np.float64(37.89281815071844))","([], np.float64(53.12819155483043))"
22,"([4, 6, 11, 46], np.float64(22.984979777330533))","([4, 6, 11, 46], np.float64(40.515509508683024))","([], np.float64(54.50670334027673))"
23,"([0, 6, 31, 42], np.float64(23.888369062312623))","([0, 6, 31, 42], np.float64(33.86672761457747))","([], np.float64(55.515796152505835))"
24,"([1, 8, 14, 37], np.float64(23.25598771276101))","([1, 8, 14, 37], np.float64(45.57593587258119))","([], np.float64(57.96762854103613))"
25,"([2, 13, 20, 26], np.float64(50.74903251869719))","([2, 13, 20, 26], np.float64(47.719350127780665))","([], np.float64(62.36457624680377))"
26,"([25, 38, 47, 48], np.float64(22.764148663258283))","([38, 47], np.float64(54.888164665892646))","([], np.float64(60.65103183281509))"
27,"([6, 9, 19, 44], np.float64(23.918258321916852))","([6, 9, 19, 44], np.float64(31.511597853862135))","([], np.float64(52.63859566084876))"
28,"([19, 35, 38, 44], np.float64(22.93990143649623))","([19, 35, 38, 44], np.float64(20.663536930891024))","([19, 35], np.float64(46.779633857612936))"
29,"([8, 14, 38, 41], np.float64(23.464542888156277))","([8, 38], np.float64(51.8569358931803))","([], np.float64(56.715117026122385))"
30,"([20, 21, 34, 35], np.float64(22.1342670864338))","([20, 21, 34, 35], np.float64(47.94542212306542))","([21, 35], np.float64(49.033612488193526))"
31,"([13, 26, 28, 37], np.float64(35.767123731774845))","([13, 26, 28, 37], np.float64(38.02632219305958))","([], np.float64(65.47883954649652))"
32,"([8, 9, 26, 37], np.float64(24.376699521826087))","([8, 37], np.float64(58.207621931877966))","([], np.float64(62.14526268825241))"
33,"([5, 23, 44, 45], np.float64(25.355090874787837))","([5, 23, 44, 45], np.float64(45.342494871212125))","([], np.float64(57.08615601722637))"
34,"([2, 11, 21, 24], np.float64(20.744731257796783))","([2, 11], np.float64(45.918784604639605))","([2, 11], np.float64(44.020868549321776))"
35,"([7, 30, 47, 49], np.float64(25.906450778625253))","([7, 47], np.float64(53.60284260215069))","([7, 47], np.float64(53.214637637250355))"
36,"([11, 17, 35, 41], np.float64(22.834455126288237))","([11, 17, 35, 41], np.float64(40.301254022888344))","([11, 41], np.float64(47.07286204259421))"
37,"([4, 15, 24, 44], np.float64(22.75806180155622))","([4, 15, 24, 44], np.float64(39.48535297406885))","([4, 44], np.float64(46.95186808502275))"
38,"([20, 25, 26, 28], np.float64(22.75337110076366))","([25, 26], np.float64(54.482778502519665))","([], np.float64(58.08221309575688))"
39,"([5, 21, 25, 43], np.float64(21.899580035684433))","([5, 21, 25, 43], np.float64(45.9096617241148))","([], np.float64(60.83160812265691))"
40,"([29, 33, 35, 44], np.float64(24.17346864239168))","([29, 33, 35, 44], np.float64(40.42423548228093))","([], np.float64(54.06021367713641))"
