run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(22.95814280263162))","([], np.float64(60.13193876840828))","([2, 3, 13, 15], np.float64(16.25922325430519))"
2,"([10, 22, 30, 39], np.float64(14.817079761804582))","([10, 22, 30, 39], np.float64(0.07275970183282032))","([10, 22, 30, 39], np.float64(24.33565871116944))"
3,"([0, 4, 5, 27], np.float64(16.026502239473803))","([0, 4, 5, 27], np.float64(0.07521281933604337))","([0, 4, 5, 27], np.float64(40.71807019026367))"
4,"([14, 34, 38, 49], np.float64(15.84929085816699))","([14, 34, 38, 49], np.float64(17.39069046134703))","([14, 34, 38, 49], np.float64(45.65877504941768))"
5,"([2, 11, 15, 36], np.float64(23.684209775003545))","([2, 11, 15, 36], np.float64(0.06918447158296231))","([2, 11, 15, 36], np.float64(0.14531553174875284))"
6,"([5, 17, 41, 44], np.float64(14.55863995139124))","([5, 17, 41, 44], np.float64(0.03845968010340154))","([5, 17, 41, 44], np.float64(35.300549731020375))"
7,"([13, 17, 29, 45], np.float64(26.30580145827071))","([13, 17, 29, 45], np.float64(0.12829556009811713))","([13, 17, 29, 45], np.float64(32.23580606979992))"
8,"([10, 19, 37, 48], np.float64(22.808373287764518))","([10, 19, 37, 48], np.float64(0.087749593208553))","([10, 19, 37, 48], np.float64(44.19516927876148))"
9,"([11, 36, 38, 44], np.float64(16.46430814379148))","([11, 36, 38, 44], np.float64(17.810290040671124))","([11, 36, 38, 44], np.float64(25.511511851823585))"
10,"([27, 29, 41, 42], np.float64(29.910719726597055))","([27, 29, 41, 42], np.float64(0.06015958105125152))","([27, 29], np.float64(51.23084541722584))"
11,"([19, 31, 46, 49], np.float64(21.651395015850415))","([19, 31, 46, 49], np.float64(0.04540149638813763))","([19, 31, 46, 49], np.float64(35.895463160129204))"
12,"([7, 13, 15, 38, 43], np.float64(33.857448443925016))","([7, 15, 38, 43], np.float64(45.87067063560119))","([7, 15, 38, 43], np.float64(41.481392196508594))"
13,"([8, 10, 31, 41], np.float64(14.072577900323743))","([8, 10, 31, 41], np.float64(0.03365378946913907))","([8, 10, 31, 41], np.float64(0.13026953812889036))"
14,"([16, 21, 40, 42], np.float64(0.19671435214063637))","([16, 21, 40, 42], np.float64(0.05827985616411573))","([16, 21, 40, 42], np.float64(50.90359519007661))"
15,"([11, 19, 21, 41], np.float64(39.025489874371154))","([11, 19, 21, 41], np.float64(0.10268687714620428))","([11, 19, 21, 41], np.float64(0.15845181004227926))"
16,"([4, 9, 19, 40], np.float64(23.448886095287566))","([4, 9, 19, 40], np.float64(0.06373224839753307))","([4, 9, 19, 40], np.float64(44.34992662788702))"
17,"([8, 18, 26, 27, 42], np.float64(25.331720258067687))","([8, 18, 26, 27], np.float64(18.927670467152623))","([8, 18, 26, 27], np.float64(33.685485121359015))"
18,"([6, 31, 39, 48], np.float64(15.357048954484906))","([6, 31, 39, 48], np.float64(25.878485649700444))","([6, 31, 39, 48], np.float64(0.2078500958212752))"
19,"([0, 2, 19, 32], np.float64(14.144256152793801))","([0, 2, 19, 32], np.float64(0.18478433131557864))","([0, 2, 19, 32], np.float64(0.08205853313450769))"
20,"([4, 7, 15, 28], np.float64(24.10136609007285))","([4, 7, 15, 28], np.float64(0.14826447137624632))","([4, 7, 15, 28], np.float64(32.68650952187255))"
21,"([13, 15, 30, 41], np.float64(14.002931370867902))","([13, 15, 30, 41], np.float64(0.12812546859947668))","([], np.float64(53.14801387707457))"
22,"([4, 6, 11, 40, 46], np.float64(22.081083465873807))","([4, 6, 11, 46], np.float64(0.03845456613366449))","([4, 6, 11, 46], np.float64(26.466624951095845))"
23,"([0, 6, 31, 42], np.float64(21.69078021788033))","([0, 6, 31, 42], np.float64(0.04650721314668682))","([0, 6, 31, 42], np.float64(32.16455239247103))"
24,"([1, 8, 14, 37], np.float64(22.558571949310643))","([1, 8, 14, 37], np.float64(0.04847124460173356))","([1, 8, 14, 37], np.float64(44.33300256810518))"
25,"([2, 13, 20, 26], np.float64(16.568876563525798))","([2, 13, 20, 26], np.float64(0.050208084927615346))","([2, 13, 20, 26], np.float64(40.3486353696958))"
26,"([25, 38, 47, 48], np.float64(21.813717454837775))","([25, 38, 47, 48], np.float64(0.06900705812684069))","([25, 38, 47, 48], np.float64(0.13835762832610402))"
27,"([6, 9, 19, 44], np.float64(15.51112403602903))","([6, 9, 19, 44], np.float64(25.824144708949294))","([6, 9, 19, 44], np.float64(0.12266965418773043))"
28,"([19, 35, 38, 44], np.float64(23.451756145891466))","([19, 35, 38, 44], np.float64(0.040842913375927395))","([19, 35, 38, 44], np.float64(0.1345049419173226))"
29,"([8, 14, 38, 41], np.float64(23.21337502346222))","([14, 41], np.float64(50.511270441586326))","([8, 38], np.float64(53.72075802197492))"
30,"([20, 21, 34, 35], np.float64(21.632927484941458))","([20, 21, 34, 35], np.float64(22.061346181818152))","([20, 21, 34, 35], np.float64(44.066722023622454))"
31,"([13, 26, 28, 37], np.float64(44.64033047883783))","([13, 26, 28, 37], np.float64(25.96283244746396))","([13, 26, 28, 37], np.float64(52.698783055590525))"
32,"([8, 9, 26, 37], np.float64(23.410125198316834))","([8, 9, 26, 37], np.float64(8.96734181794577))","([8, 9, 26, 37], np.float64(0.09198046173030222))"
33,"([5, 23, 44, 45], np.float64(0.13754029487399028))","([5, 23, 44, 45], np.float64(24.4298468936092))","([5, 23, 44, 45], np.float64(0.12480784421255266))"
34,"([2, 11, 21, 24], np.float64(20.173372537341493))","([2, 11, 21, 24], np.float64(0.03569398008665427))","([2, 11, 21, 24], np.float64(32.33315052370912))"
35,"([7, 30, 47, 49], np.float64(0.10922210841817608))","([7, 30, 47, 49], np.float64(44.208034806017544))","([7, 30, 47, 49], np.float64(0.6210228717120163))"
36,"([11, 17, 35, 41], np.float64(22.379877432102155))","([11, 17, 35, 41], np.float64(0.11188638887087092))","([11, 41], np.float64(46.80670379056029))"
37,"([4, 15, 24, 44], np.float64(0.20763500227845422))","([4, 15, 24, 44], np.float64(23.25924180043166))","([4, 15, 24, 44], np.float64(38.728277639144636))"
