run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(22.734308246972653))","([2, 3, 13, 15], np.float64(33.16671654939025))","([], np.float64(60.344048837337006))"
2,"([10, 22, 30, 39], np.float64(23.59321223759713))","([10, 30], np.float64(59.16447453941398))","([], np.float64(64.23030020640736))"
3,"([0, 4, 5, 27], np.float64(24.27012947988877))","([0, 4, 5, 27], np.float64(30.033605396560702))","([27], np.float64(53.17494741787154))"
4,"([14, 34, 38, 49], np.float64(22.781678517843016))","([14, 34, 38, 49], np.float64(40.033658274224884))","([14, 49], np.float64(51.00371645321526))"
5,"([2, 11, 15, 36], np.float64(23.934644988206863))","([], np.float64(57.94304556644635))","([2, 15], np.float64(49.039044006214496))"
6,"([5, 17, 41, 44], np.float64(21.700706745890017))","([5, 17, 41, 44], np.float64(19.443303592188247))","([], np.float64(58.984446301854604))"
7,"([13, 17, 29, 45], np.float64(26.588159377719705))","([13, 17, 29, 45], np.float64(45.1128722240811))","([13, 17, 29, 45], np.float64(46.25778887941284))"
8,"([10, 13, 19, 37, 48], np.float64(30.63668890567881))","([10, 19, 37, 48], np.float64(21.983963630631123))","([37, 48], np.float64(53.94522337313679))"
9,"([11, 36, 38, 44], np.float64(23.963408341169277))","([11, 36, 38, 44], np.float64(39.500141508685545))","([38, 44], np.float64(47.48825958906026))"
10,"([27, 29, 41, 42], np.float64(15.637592603792793))","([], np.float64(55.56384100933412))","([41], np.float64(55.04455694774224))"
11,"([19, 31, 46, 49], np.float64(36.31121070760727))","([19, 31, 46, 49], np.float64(15.644161908067645))","([], np.float64(53.211943913885996))"
12,"([7, 15, 38, 43], np.float64(24.3027601905684))","([7, 15, 38, 43], np.float64(0.45421129175057423))","([], np.float64(59.465664443596786))"
13,"([], np.float64(58.26195318680177))","([8, 10, 31, 41], np.float64(48.51040391091343))","([], np.float64(58.261853334753724))"
