run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
39,"([5, 21, 25, 43], np.float64(21.460835421740754))","([5, 21, 25, 43], np.float64(0.057191239795629276))","([], np.float64(60.82228903572612))"
40,"([29, 33, 35, 44], np.float64(23.52645366236256))","([29, 33, 35, 44], np.float64(39.78067407650784))","([], np.float64(53.97224690361335))"
41,"([3, 6, 11, 14], np.float64(15.913799211632517))","([6, 11], np.float64(55.773471909238914))","([3, 6, 11, 14], np.float64(46.904374730179775))"
42,"([6, 15, 43, 49], np.float64(22.062899489722163))","([6, 15, 43, 49], np.float64(25.262470199842877))","([], np.float64(55.124946106740104))"
43,"([24, 30, 35, 45], np.float64(24.86695045216346))","([24, 30, 35, 45], np.float64(18.658252997892802))","([35, 45], np.float64(49.50358665611826))"
44,"([16, 22, 38, 46], np.float64(23.415195869941908))","([16, 22, 38, 46], np.float64(30.35702264418027))","([16, 38], np.float64(57.42756727013155))"
45,"([8, 19, 26, 45], np.float64(23.711272463941725))","([8, 19, 26, 45], np.float64(0.04608131291978836))","([], np.float64(61.2871447125383))"
46,"([0, 10, 15, 16], np.float64(23.017573967738667))","([0, 10, 15, 16], np.float64(43.80930738285433))","([], np.float64(59.7390711058262))"
47,"([1, 10, 13, 48], np.float64(23.555268755501114))","([1, 10, 13, 48], np.float64(0.16103416205140536))","([10, 48], np.float64(51.16029884351141))"
48,"([0, 20, 24, 42], np.float64(15.061505581254814))","([0, 20, 24, 42], np.float64(28.776411883526773))","([], np.float64(62.27934175946128))"
49,"([0, 21, 26, 30], np.float64(23.05776836009365))","([0, 21, 26, 30], np.float64(20.466675175036233))","([0, 26], np.float64(52.43438682349443))"
