run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(22.324113385427236))","([2, 3, 13, 15], np.float64(14.003192869731595))","([2, 3, 13, 15], np.float64(0.1807266554242124))"
2,"([10, 22, 30, 39], np.float64(23.408437109407124))","([10, 22, 30, 39], np.float64(15.355729880322725))","([22, 39], np.float64(55.436012112186674))"
3,"([0, 4, 5, 27], np.float64(22.461923045822054))","([0, 4, 5, 27], np.float64(7.154770423253639))","([0, 4, 5, 27], np.float64(42.29006728400542))"
4,"([14, 26, 34, 38, 49], np.float64(22.420974321550805))","([14, 34, 38, 49], np.float64(0.08308289801696427))","([14, 34, 38, 49], np.float64(0.2000121057234255))"
5,"([2, 11, 15, 36], np.float64(15.240307921162524))","([2, 11, 15, 36], np.float64(25.318835130164313))","([11, 36], np.float64(55.522177736830464))"
6,"([5, 17, 41, 44], np.float64(22.206651427778993))","([5, 17, 41, 44], np.float64(21.543056118194414))","([5, 17, 41, 44], np.float64(0.13918035229600084))"
7,"([13, 17, 29, 45], np.float64(17.783443135890646))","([13, 17, 29, 45], np.float64(16.246660245999223))","([29, 45], np.float64(59.12943451730454))"
8,"([10, 19, 37, 48], np.float64(23.95941528019187))","([10, 19, 37, 48], np.float64(0.05503974452923944))","([10, 19], np.float64(59.70871073931143))"
9,"([11, 36, 38, 44], np.float64(23.345497684552008))","([11, 36, 38, 44], np.float64(0.1517532653273032))","([11, 36, 38, 44], np.float64(26.193831661202495))"
10,"([27, 29, 41, 42], np.float64(16.537424843870006))","([27, 29, 41, 42], np.float64(0.13705049312891487))","([27, 29, 41, 42], np.float64(45.030142864634676))"
11,"([19, 31, 46, 49], np.float64(21.71489288360632))","([19, 31, 46, 49], np.float64(0.04149824679157817))","([19, 31, 46, 49], np.float64(36.890343420487596))"
12,"([7, 15, 38, 43], np.float64(25.565179417827352))","([7, 15, 38, 43], np.float64(16.146131549563652))","([7, 15, 38, 43], np.float64(41.596050533683936))"
13,"([8, 10, 31, 41], np.float64(21.875705602169518))","([8, 10, 31, 41], np.float64(0.03382905078258327))","([8, 10, 31, 41], np.float64(33.891788471674346))"
14,"([16, 21, 40, 42], np.float64(0.16579769194164115))","([16, 21, 40, 42], np.float64(23.135870572468892))","([16, 21, 40, 42], np.float64(35.90728091577974))"
15,"([11, 19, 21, 41], np.float64(21.34548596935207))","([11, 19, 21, 41], np.float64(0.03321842059177918))","([11, 19, 21, 41], np.float64(37.81386031153979))"
16,"([4, 9, 19, 40], np.float64(14.538781363177103))","([4, 9, 19, 40], np.float64(8.403959899773671))","([4, 9, 19, 40], np.float64(35.63382014500385))"
17,"([8, 18, 26, 27], np.float64(16.823512303392004))","([8, 18, 26, 27], np.float64(33.179730143537))","([8, 18, 26, 27], np.float64(59.380549845209636))"
18,"([6, 31, 39, 48], np.float64(22.749304560657745))","([], np.float64(62.03130480093288))","([6, 31, 39, 48], np.float64(0.2744595207571791))"
19,"([0, 2, 19, 32], np.float64(22.10789727199708))","([0, 2, 19, 32], np.float64(17.89423305409058))","([0, 2, 19, 32], np.float64(43.2675432055524))"
20,"([4, 7, 15, 28], np.float64(23.48222961230972))","([4, 7, 15, 28], np.float64(0.06570875904746715))","([4, 7, 15, 28], np.float64(30.66799557779635))"
21,"([13, 15, 30, 41], np.float64(30.28968366231575))","([13, 15, 30, 41], np.float64(18.54739583739732))","([13, 15, 30, 41], np.float64(34.07238233726456))"
22,"([4, 6, 11, 46], np.float64(29.94350279251302))","([4, 6, 11, 46], np.float64(37.85801038571353))","([4, 6, 11, 46], np.float64(0.1452778273682465))"
23,"([0, 6, 31, 42], np.float64(13.37132993444057))","([0, 6, 31, 42], np.float64(0.06149455650027175))","([0, 6, 31, 42], np.float64(36.463225679805795))"
24,"([1, 8, 14, 37], np.float64(15.118230745535518))","([1, 8, 14, 37], np.float64(0.047992344483613676))","([1, 8, 14, 37], np.float64(38.61588272509164))"
