run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(22.147819483608327))","([2, 3, 13, 15], np.float64(18.29356245848054))","([2, 3, 13, 15], np.float64(0.13700818455963126))"
2,"([10, 22, 30, 39], np.float64(24.38403473299992))","([10, 22, 30, 39], np.float64(6.924911430264523))","([10, 22, 30, 39], np.float64(0.1832908778462453))"
3,"([0, 4, 5, 27], np.float64(22.49288723147341))","([0, 4, 5, 27], np.float64(0.041455321366441054))","([0, 4, 5, 27], np.float64(30.680199605896945))"
4,"([14, 34, 38, 49], np.float64(15.391426064454802))","([14, 34, 38, 49], np.float64(0.45735962474500264))","([14, 34, 38, 49], np.float64(0.15765008347074888))"
5,"([2, 11, 15, 36], np.float64(23.5720223712405))","([2, 11, 15, 36], np.float64(13.258467794315045))","([2, 11, 15, 36], np.float64(0.19092751588225873))"
6,"([5, 17, 41, 44], np.float64(14.600616691398361))","([5, 17, 41, 44], np.float64(21.851701161208307))","([5, 17, 41, 44], np.float64(0.10864610312059288))"
7,"([13, 17, 29, 45], np.float64(26.21654053421619))","([13, 17, 29, 45], np.float64(0.10926029434473561))","([13, 17, 29, 45], np.float64(34.37627819221778))"
8,"([10, 19, 27, 37, 48], np.float64(30.41947953677563))","([10, 19, 37, 48], np.float64(0.045239771540519606))","([10, 19, 37, 48], np.float64(28.9344588595394))"
9,"([11, 36, 38, 44], np.float64(23.911697908604836))","([11, 36, 38, 44], np.float64(0.06338140303876189))","([11, 36, 38, 44], np.float64(0.2630767394288019))"
10,"([27, 29, 41, 42], np.float64(23.52624255992393))","([27, 29, 41, 42], np.float64(8.548666541372839))","([27, 29], np.float64(46.77742935952958))"
11,"([19, 31, 46, 49], np.float64(20.88267425352543))","([19, 31, 46, 49], np.float64(4.621970875972893))","([31, 49], np.float64(48.83571925337376))"
12,"([7, 15, 38, 43], np.float64(17.033024704179194))","([7, 15, 38, 43], np.float64(0.07171706359787555))","([7, 15, 38, 43], np.float64(0.11393145407148977))"
13,"([8, 10, 31, 41], np.float64(13.881427838959786))","([8, 10, 31, 41], np.float64(0.04565314990426981))","([10, 31], np.float64(50.17343584046219))"
14,"([16, 21, 40, 42], np.float64(22.90803788171356))","([16, 18, 21, 40, 42], np.float64(0.0655188448370816))","([16, 21, 40, 42], np.float64(0.5365649109398435))"
15,"([11, 19, 21, 41], np.float64(0.0762596008278984))","([11, 19, 21, 41], np.float64(0.09990818502192239))","([11, 19, 21, 41], np.float64(38.13433270923066))"
16,"([4, 9, 19, 40], np.float64(23.65217685085958))","([4, 9, 19, 40], np.float64(0.030644778776666867))","([4, 9, 19, 40], np.float64(0.14119804885763654))"
17,"([8, 18, 26, 27], np.float64(25.404485997762567))","([8, 18, 26, 27], np.float64(0.20524614647759662))","([8, 18, 26, 27], np.float64(54.65023660092414))"
18,"([6, 31, 39, 48], np.float64(24.278398513208813))","([6, 31, 39, 48], np.float64(0.07151017259983465))","([6, 31, 39, 48], np.float64(33.15804763122743))"
19,"([0, 2, 19, 32], np.float64(23.805598381907767))","([0, 2, 19, 32], np.float64(17.802344869265735))","([0, 2, 19, 32], np.float64(31.945637317036358))"
20,"([4, 7, 15, 28], np.float64(16.663334136458534))","([4, 7, 15, 28], np.float64(0.08987482171635276))","([4, 7, 15, 28], np.float64(31.772065048132085))"
21,"([13, 15, 30, 41], np.float64(20.589501817657226))","([13, 15, 30, 41], np.float64(20.570070195180065))","([13, 15, 30, 41], np.float64(0.28650532932433637))"
22,"([4, 6, 11, 46], np.float64(14.387961066384541))","([4, 6, 11, 46], np.float64(0.025395313352371218))","([4, 6, 11, 46], np.float64(49.9162947463246))"
23,"([0, 6, 31, 42], np.float64(21.988977773869372))","([0, 6, 31, 42], np.float64(0.039184600306233844))","([0, 6, 31, 42], np.float64(44.09939000669488))"
24,"([1, 8, 14, 37], np.float64(23.137637331988504))","([1, 8, 14, 37], np.float64(0.16334478698263985))","([1, 8, 14, 37], np.float64(34.45079266079752))"
25,"([2, 13, 20, 26], np.float64(16.60231939235896))","([2, 13, 20, 26], np.float64(0.05598253143476835))","([2, 13, 20, 26], np.float64(29.079082169155217))"
26,"([25, 38, 47, 48], np.float64(22.491903899072625))","([25, 38, 47, 48], np.float64(14.346875738482929))","([25, 38, 47, 48], np.float64(0.14245343911763042))"
27,"([6, 9, 19, 44], np.float64(21.256307667218845))","([], np.float64(52.53998431853196))","([6, 9, 19, 44], np.float64(24.03268183967508))"
28,"([19, 35, 38, 44], np.float64(22.767589537586073))","([19, 35, 38, 44], np.float64(0.04409868558281251))","([19, 35, 38, 44], np.float64(19.549346624152786))"
29,"([8, 14, 38, 41], np.float64(16.295502621581996))","([8, 14, 38, 41], np.float64(0.09908652299837617))","([8, 14, 38, 41], np.float64(0.6816341590697313))"
30,"([20, 21, 34, 35], np.float64(39.48379467396037))","([20, 21, 34, 35], np.float64(6.2232417262338675))","([20, 34], np.float64(47.69753819709392))"
31,"([13, 26, 28, 37], np.float64(25.09737285586992))","([13, 26, 28, 37], np.float64(0.08217089106503826))","([13, 26, 28, 37], np.float64(0.19487683857334673))"
32,"([8, 9, 26, 37, 40], np.float64(23.45729106353516))","([8, 9, 26, 37], np.float64(0.10321704304845758))","([8, 9, 26, 37], np.float64(0.1796322628346227))"
33,"([5, 23, 44, 45], np.float64(24.456149760490625))","([5, 23, 44, 45], np.float64(44.805390823224705))","([5, 23, 44, 45], np.float64(49.82494809983311))"
34,"([2, 7, 11, 21, 24], np.float64(20.19286866900157))","([2, 11, 21, 24], np.float64(0.032681589809534686))","([2, 11, 21, 24], np.float64(32.46607035801297))"
35,"([7, 30, 34, 47, 49], np.float64(25.121488643105266))","([7, 30, 47, 49], np.float64(0.0810624171157828))","([7, 30, 47, 49], np.float64(33.06445969849848))"
36,"([11, 17, 35, 41], np.float64(22.38862981526686))","([11, 17, 35, 41], np.float64(0.03962722067343791))","([11, 17, 35, 41], np.float64(0.11317875599804339))"
37,"([4, 15, 24, 44], np.float64(22.798610609356444))","([4, 15, 24, 44], np.float64(6.761932769219411))","([4, 15, 24, 44], np.float64(0.15713110717927412))"
38,"([20, 25, 26, 28], np.float64(22.965148195496507))","([20, 25, 26, 28], np.float64(20.945800630294762))","([20, 25, 26, 28], np.float64(0.10234344640647254))"
39,"([5, 21, 25, 43], np.float64(14.826307830035992))","([5, 21, 25, 43], np.float64(0.05784930155567093))","([5, 21, 25, 43], np.float64(22.410211278901194))"
40,"([29, 33, 35, 44], np.float64(15.31840911292419))","([29, 33, 35, 44], np.float64(0.0833720277533644))","([29, 33, 35, 44], np.float64(46.84742970857718))"
41,"([3, 6, 11, 14], np.float64(16.19457281960053))","([3, 6, 11, 14], np.float64(0.02201343122245462))","([3, 6, 11, 14], np.float64(3.2180226058218646))"
42,"([6, 15, 43, 49], np.float64(14.328044542437258))","([6, 15, 43, 49], np.float64(6.598695110187621))","([6, 49], np.float64(52.00652935505301))"
43,"([24, 30, 35, 45], np.float64(16.6930947960126))","([24, 30, 35, 45], np.float64(0.06837552374222179))","([24, 30, 35, 45], np.float64(0.14479188697607542))"
44,"([16, 22, 38, 46], np.float64(22.426030010620867))","([16, 22, 38, 46], np.float64(27.174955365353018))","([16, 22, 38, 46], np.float64(0.806964135906238))"
45,"([8, 19, 26, 45], np.float64(23.391818775196846))","([8, 19, 26, 45], np.float64(0.06773678099973268))","([8, 19, 26, 45], np.float64(20.340682161243894))"
46,"([0, 10, 15, 16], np.float64(32.03590803339265))","([0, 16, 31], np.float64(56.5389221394416))","([10, 15], np.float64(55.69878546834568))"
47,"([1, 10, 13, 48], np.float64(23.052266229583743))","([1, 10, 13, 48], np.float64(0.04675779015114362))","([1, 10, 13, 48], np.float64(0.3010987728278081))"
48,"([0, 20, 24, 42], np.float64(21.659973184179997))","([0, 20, 24, 42], np.float64(7.394418131185875))","([0, 20, 24, 42], np.float64(24.51432674723037))"
49,"([0, 21, 26, 30], np.float64(16.11497186390738))","([0, 21, 26, 30], np.float64(0.07964983637968902))","([0, 26], np.float64(50.097058376896534))"
