run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(22.261156734207276))","([2, 3, 13, 15], np.float64(22.37233518369501))","([], np.float64(60.13426897842579))"
2,"([10, 20, 22, 30, 39], np.float64(23.452190551460486))","([10, 22, 30, 39], np.float64(0.26697203785523493))","([10, 22, 30, 39], np.float64(23.412514024904898))"
3,"([0, 4, 5, 27], np.float64(22.03307560759777))","([0, 4, 5, 27], np.float64(16.81331383891221))","([0, 4, 5, 27], np.float64(38.797253624938996))"
4,"([14, 34, 38, 49], np.float64(37.33253351872458))","([14, 34, 38, 49], np.float64(1.337651443648977))","([14, 34, 38, 49], np.float64(45.859462549869185))"
5,"([2, 11, 15, 36], np.float64(23.579556686416765))","([2, 11, 15, 36], np.float64(0.08549335156071115))","([2, 11, 15, 36], np.float64(0.1612425747853435))"
6,"([5, 17, 41, 44], np.float64(21.535744819249857))","([5, 17, 41, 44], np.float64(0.05513113597850335))","([5, 17, 41, 44], np.float64(0.15513354290473483))"
7,"([13, 17, 29, 45], np.float64(26.241221447391887))","([13, 17, 29, 45], np.float64(0.0553037526109664))","([29, 45], np.float64(55.276585703379666))"
8,"([10, 19, 37, 48], np.float64(22.75398590274519))","([10, 19, 37, 48], np.float64(13.950219941618103))","([10, 19, 37, 48], np.float64(0.2143775264727417))"
9,"([11, 36, 38, 44], np.float64(15.95214418623288))","([11, 36, 38, 44], np.float64(0.270869134042018))","([11, 36, 38, 44], np.float64(0.11344437624041685))"
10,"([27, 29, 41, 42], np.float64(23.381668567729402))","([27, 29, 41, 42], np.float64(0.035741027281325055))","([27, 29], np.float64(51.049969287061245))"
11,"([19, 31, 46, 49], np.float64(0.1975483719841252))","([19, 31, 46, 49], np.float64(0.06498096198617336))","([19, 31, 46, 49], np.float64(21.611247135016008))"
12,"([7, 15, 38, 43], np.float64(25.194894926742002))","([15, 38], np.float64(54.906875125282106))","([7, 15, 38, 43], np.float64(28.515083423581686))"
13,"([8, 10, 31, 41], np.float64(21.729971566797655))","([8, 10, 31, 41], np.float64(14.66611830484823))","([8, 10, 31, 41], np.float64(41.55288778756135))"
14,"([16, 21, 40, 42], np.float64(0.050869496667353534))","([16, 21, 40, 42], np.float64(18.818311989364))","([16, 21, 40, 42], np.float64(20.76531004272101))"
15,"([11, 19, 21, 41], np.float64(13.944425436804806))","([11, 19, 21, 41], np.float64(5.933116792888075))","([11, 19, 21, 41], np.float64(46.21858963097559))"
16,"([4, 9, 19, 40], np.float64(14.896051474912161))","([4, 9, 19, 40], np.float64(0.050535862708513284))","([], np.float64(54.56318143203842))"
17,"([8, 18, 26, 27], np.float64(25.255575322666765))","([8, 18, 26, 27], np.float64(24.485527257135733))","([8, 18, 26, 27], np.float64(59.07023367277906))"
18,"([6, 31, 39, 48], np.float64(15.334785731954677))","([6, 31, 39, 48], np.float64(0.1444692373226985))","([6, 31, 39, 48], np.float64(0.10726248043042645))"
19,"([0, 2, 19, 32], np.float64(17.121767452476366))","([0, 2, 19, 32], np.float64(6.245657922094127))","([0, 2, 19, 32], np.float64(34.3122694150263))"
20,"([4, 7, 15, 28, 40], np.float64(23.59379775003186))","([4, 7, 15, 28], np.float64(39.67474830942102))","([4, 28], np.float64(56.88272391958197))"
21,"([13, 15, 30, 41], np.float64(26.688225236717305))","([13, 15, 30, 41], np.float64(23.87946935441673))","([], np.float64(53.12024274838726))"
22,"([4, 6, 11, 33, 46], np.float64(22.085751009477324))","([4, 6, 11, 46], np.float64(7.571736576645184))","([4, 6, 11, 46], np.float64(0.10454304650982103))"
23,"([0, 6, 31, 42], np.float64(22.14510892411224))","([0, 6, 31, 42], np.float64(0.0901734663181856))","([0, 6, 31, 42], np.float64(0.11061985068152753))"
24,"([1, 8, 14, 37], np.float64(15.541572666787035))","([1, 8, 14, 37], np.float64(0.09902181355462256))","([8, 37], np.float64(48.413024631577485))"
25,"([2, 13, 20, 26], np.float64(24.47652026298214))","([2, 13, 20, 26], np.float64(6.190641893480199))","([2, 13, 20, 26], np.float64(35.62487947576572))"
26,"([25, 38, 47, 48], np.float64(29.988473904827256))","([25, 38, 47, 48], np.float64(0.06358280554662735))","([25, 38, 47, 48], np.float64(32.27771564406143))"
27,"([6, 9, 19, 44], np.float64(30.17288034666866))","([6, 9, 19, 44], np.float64(0.17683322939782078))","([6, 9, 19, 44], np.float64(42.94399074729862))"
28,"([19, 35, 38, 44], np.float64(21.23781263542096))","([19, 35, 38, 44], np.float64(0.0689579522808803))","([19, 35, 38, 44], np.float64(26.51203020793717))"
29,"([8, 14, 38, 41], np.float64(23.884596735063845))","([8, 14, 38, 41], np.float64(19.991021974216387))","([14, 41], np.float64(53.61558338239354))"
30,"([20, 21, 34, 35], np.float64(21.659280235102887))","([20, 21, 34, 35], np.float64(0.02087583209277207))","([20, 21, 34, 35], np.float64(0.16751527100718408))"
31,"([13, 26, 28, 37], np.float64(26.114657444839445))","([13, 26, 28, 37], np.float64(0.11108854147882999))","([13, 26, 28, 37], np.float64(42.63667735413658))"
