run_id,LNClassifier,RandomForestClassifier,XGBoostClassifier,baseline error
22,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8571428571428571)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8151260504201681)","([np.int64(0), np.int64(1), np.int64(3)], 0.8151260504201681)",0.6176470588235294
23,"([np.int64(0), np.int64(1), np.int64(2), np.int64(4)], 0.7815126050420168)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.819327731092437)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.8319327731092437)",0.592436974789916
24,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7899159663865546)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7983193277310925)","([np.int64(0), np.int64(1), np.int64(3), np.int64(5)], 0.7899159663865546)",0.5336134453781513
25,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)], 0.7605042016806722)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7563025210084033)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.7899159663865546)",0.5840336134453782
26,"([np.int64(0), np.int64(1)], 0.759493670886076)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7763713080168776)","([np.int64(0), np.int64(1), np.int64(3)], 0.7552742616033755)",0.6118143459915611
27,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7932489451476793)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8016877637130801)","([np.int64(0), np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7932489451476793)",0.5527426160337553
28,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7721518987341772)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7805907172995781)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.7890295358649789)",0.6118143459915611
29,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7478991596638656)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8025210084033614)","([np.int64(0), np.int64(1), np.int64(3)], 0.7773109243697479)",0.5882352941176471
30,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8571428571428571)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8235294117647058)","([np.int64(0), np.int64(1), np.int64(3)], 0.8277310924369747)",0.6050420168067226
31,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8143459915611815)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8396624472573839)","([np.int64(0), np.int64(1), np.int64(3)], 0.7890295358649789)",0.6118143459915611
32,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7815126050420168)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7857142857142857)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5)], 0.7815126050420168)",0.5462184873949579
33,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8143459915611815)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.759493670886076)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(6)], 0.7805907172995781)",0.6244725738396625
34,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7848101265822784)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7974683544303798)","([np.int64(0), np.int64(1), np.int64(3)], 0.7721518987341772)",0.6244725738396625
35,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.810126582278481)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8227848101265823)","([np.int64(0), np.int64(1), np.int64(3)], 0.7974683544303798)",0.5991561181434599
36,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8143459915611815)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8016877637130801)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5)], 0.7679324894514767)",0.6033755274261603
37,"([np.int64(0), np.int64(1)], 0.8016877637130801)","([np.int64(1), np.int64(5), np.int64(6)], 0.8016877637130801)","([np.int64(0), np.int64(1), np.int64(3)], 0.7974683544303798)",0.6286919831223629
38,"([np.int64(0), np.int64(1), np.int64(3)], 0.7436974789915967)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7899159663865546)","([np.int64(0), np.int64(1), np.int64(3)], 0.7563025210084033)",0.5756302521008403
39,"([np.int64(0), np.int64(1), np.int64(4)], 0.8270042194092827)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8312236286919831)","([np.int64(0), np.int64(1), np.int64(3)], 0.7848101265822784)",0.6075949367088608
40,"([np.int64(1)], 0.7521008403361344)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7773109243697479)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.7815126050420168)",0.5756302521008403
41,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.773109243697479)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.819327731092437)","([np.int64(0), np.int64(1), np.int64(3)], 0.7857142857142857)",0.5756302521008403
42,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8109243697478992)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8319327731092437)","([np.int64(0), np.int64(1), np.int64(3)], 0.7857142857142857)",0.5840336134453782
43,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7941176470588235)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8067226890756303)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.8025210084033614)",0.6218487394957983
44,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.773109243697479)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7815126050420168)","([np.int64(0), np.int64(1), np.int64(3), np.int64(5)], 0.7436974789915967)",0.592436974789916
45,"([np.int64(0), np.int64(1)], 0.8151260504201681)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8403361344537815)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.8319327731092437)",0.5966386554621849
46,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7815126050420168)","([np.int64(0), np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7899159663865546)","([np.int64(0), np.int64(1), np.int64(3)], 0.7773109243697479)",0.6218487394957983
47,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7857142857142857)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7899159663865546)","([np.int64(0), np.int64(1), np.int64(3)], 0.7773109243697479)",0.5630252100840336
48,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7941176470588235)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8151260504201681)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.8025210084033614)",0.5714285714285714
49,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8025210084033614)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7983193277310925)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(6)], 0.8235294117647058)",0.6050420168067226
