run_id,LNClassifier,RandomForestClassifier,XGBoostClassifier,baseline error
37,"([np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9428571428571428)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)","([np.int64(1), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(12)], 0.9714285714285714)",0.42857142857142855
38,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 0.9722222222222222)",0.4722222222222222
39,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(3), np.int64(4), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9428571428571428)",0.5142857142857142
40,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(3), np.int64(4), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 1.0)",0.3055555555555556
41,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(1), np.int64(4), np.int64(6), np.int64(9), np.int64(10), np.int64(12)], 0.9444444444444444)",0.4722222222222222
42,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)",0.3888888888888889
43,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(3), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 0.9722222222222222)",0.4444444444444444
44,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)",0.3333333333333333
45,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)","([np.int64(1), np.int64(5), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 0.9166666666666666)",0.3888888888888889
46,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)",0.37142857142857144
47,"([np.int64(0), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9166666666666666)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(4), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)",0.4166666666666667
48,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(4), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)",0.3142857142857143
49,"([np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(1), np.int64(5), np.int64(6), np.int64(9), np.int64(11), np.int64(12)], 0.9722222222222222)",0.25
