run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
40,"([4, 8, 13, 19, 30, 31, 33], 0.9371482176360225)","([4, 8, 13, 14, 19, 27, 30, 31, 33], 0.9352720450281425)",0.5196998123827392
41,"([4, 8, 13, 19, 30, 31, 33], 0.9333333333333333)","([4, 8, 12, 13, 14, 16, 19, 27, 30, 31, 33], 0.9314553990610329)",0.49953051643192486
42,"([4, 8, 13, 19, 30, 31, 33], 0.9390243902439024)","([4, 8, 13, 19, 27, 30, 31, 33], 0.9371482176360225)",0.5140712945590994
43,"([4, 8, 13, 19, 30, 31, 33], 0.9362101313320825)","([4, 8, 13, 14, 19, 27, 30, 31, 33], 0.9427767354596623)",0.5328330206378987
44,"([4, 8, 13, 19, 30, 31, 33], 0.936150234741784)","([4, 8, 13, 19, 30, 31, 33], 0.9417840375586854)",0.5342723004694836
45,"([4, 8, 12, 13, 19, 30, 31, 33], 0.936150234741784)","([4, 8, 12, 13, 14, 19, 21, 27, 30, 31, 33], 0.9352112676056338)",0.5408450704225352
46,"([4, 8, 13, 19, 21, 30, 31, 33], 0.9427230046948357)","([4, 8, 13, 14, 19, 21, 30, 31, 33], 0.9436619718309859)",0.5154929577464789
47,"([4, 8, 13, 19, 30, 31, 33], 0.9342723004694836)","([4, 8, 13, 14, 19, 30, 31, 33], 0.9305164319248826)",0.5098591549295775
48,"([4, 8, 13, 19, 30, 31, 33], 0.9343339587242027)","([4, 8, 13, 14, 19, 30, 31, 33], 0.9305816135084428)",0.5281425891181989
49,"([4, 8, 19, 30, 31, 33], 0.9324577861163227)","([4, 8, 13, 19, 27, 30, 31, 33], 0.9305816135084428)",0.5272045028142589
