run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([3, 15, 30], np.float64(56.10038941189778))","([], np.float64(60.2417849026334))","([], np.float64(60.198140552744626))"
2,"([22, 30, 31, 39], np.float64(55.59140591519284))","([], np.float64(64.19468197488207))","([], np.float64(64.19463964664179))"
3,"([0, 4, 5, 27], np.float64(51.112103066647286))","([], np.float64(54.41688988388612))","([], np.float64(54.410109141883964))"
4,"([14, 27, 34, 38, 49], np.float64(46.32461565854997))","([], np.float64(55.070266985894776))","([], np.float64(54.97142897388298))"
5,"([2, 11, 15, 36], np.float64(46.85680530848768))","([], np.float64(57.90925271318127))","([], np.float64(57.90926022452763))"
6,"([23], np.float64(60.47059253690377))","([], np.float64(60.21779598972823))","([], np.float64(60.21779175249203))"
7,"([13, 17, 29, 45], np.float64(48.197557490262035))","([], np.float64(62.56026632241526))","([], np.float64(62.45646952614125))"
8,"([10, 19, 37, 48], np.float64(50.496092126827364))","([37], np.float64(60.895258669876235))","([], np.float64(62.366500682168244))"
9,"([], np.float64(52.56957693128884))","([], np.float64(52.569573912687694))","([], np.float64(52.56957693128884))"
10,"([27, 29], np.float64(47.84125711243698))","([], np.float64(55.73986647316318))","([], np.float64(55.739867274123796))"
11,"([31, 49], np.float64(51.01694435094597))","([], np.float64(53.63858538315861))","([], np.float64(53.638556489696704))"
12,"([7, 15, 38, 43], np.float64(42.62759410361179))","([24], np.float64(60.570856048315996))","([], np.float64(59.97731131061408))"
13,"([8, 10, 31, 41], np.float64(45.81444231035262))","([], np.float64(58.351933625766655))","([], np.float64(58.35193937025195))"
14,"([16, 21, 40, 42], np.float64(36.86221846866001))","([], np.float64(59.85983605360361))","([], np.float64(59.85974768945947))"
15,"([3, 11, 21], np.float64(52.1739847406414))","([], np.float64(59.252994525725995))","([], np.float64(59.264459190122494))"
16,"([19, 35, 40, 41], np.float64(52.62533938183977))","([35], np.float64(54.89508244973897))","([], np.float64(54.68881162786251))"
17,"([8, 18, 26, 27], np.float64(54.639979089514036))","([], np.float64(67.3726686048215))","([], np.float64(67.3728820079013))"
18,"([6, 31, 39, 48], np.float64(39.121969016352175))","([], np.float64(62.266842104142356))","([], np.float64(62.23062205699294))"
19,"([0, 2], np.float64(46.50958807109575))","([], np.float64(55.33436846763568))","([], np.float64(55.334368520794705))"
20,"([7, 15, 17, 36], np.float64(61.607579342899044))","([7], np.float64(60.088373296812456))","([], np.float64(60.02476424569325))"
21,"([12, 13, 15, 30], np.float64(53.707005024400225))","([13, 15, 30, 41], np.float64(49.85679112902428))","([], np.float64(53.678221188957366))"
22,"([4, 6, 11, 46], np.float64(40.89107242719091))","([], np.float64(54.73008537360231))","([], np.float64(54.73009054070348))"
23,"([0, 6, 31, 42], np.float64(52.17385173915028))","([], np.float64(55.86337768170983))","([], np.float64(55.86337655136714))"
24,"([1, 8, 14, 19, 37], np.float64(55.876234393455945))","([], np.float64(58.38474110723884))","([], np.float64(58.322356989613155))"
25,"([2, 13, 20, 26], np.float64(53.09448003178524))","([], np.float64(62.94542070610742))","([], np.float64(62.945417750406456))"
