run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(22.134223305690938))","([2, 3, 13, 15], np.float64(0.09733871304981333))","([2, 3, 13, 15], np.float64(0.2229055297587015))"
2,"([10, 22, 30, 39], np.float64(23.571712323253347))","([10, 22, 30, 39], np.float64(0.0338699531119867))","([10, 22, 30, 39], np.float64(35.20192323667635))"
3,"([0, 4, 5, 27], np.float64(23.05031738863849))","([0, 4, 5, 27], np.float64(36.56228931161472))","([0, 4, 5, 27], np.float64(41.22065311746841))"
4,"([14, 34, 38, 49], np.float64(15.642760058584871))","([14, 34, 38, 49], np.float64(0.11529730832423012))","([14, 34, 38, 49], np.float64(18.21675877916372))"
5,"([2, 11, 15, 36], np.float64(23.463601207573813))","([2, 11, 15, 36], np.float64(0.01789560059092459))","([2, 11, 15, 36], np.float64(34.58561745950058))"
6,"([5, 17, 41, 44], np.float64(11.24085670498274))","([5, 17, 41, 44], np.float64(0.1013341395562013))","([17, 41], np.float64(55.257101125779286))"
7,"([13, 17, 29, 45], np.float64(26.184819063473366))","([13, 17, 29, 45], np.float64(0.0897931819475304))","([29, 45], np.float64(57.5351975724615))"
8,"([10, 19, 37, 48], np.float64(15.629749653794489))","([10, 19, 37, 48], np.float64(0.11649952694531379))","([10, 19, 37, 48], np.float64(22.785601455428793))"
9,"([11, 36, 38, 44], np.float64(15.698255951172696))","([11, 36, 38, 44], np.float64(21.32021780908775))","([11, 36, 38, 44], np.float64(0.22742417999840428))"
10,"([27, 29, 41, 42], np.float64(21.095018292618384))","([27, 29, 41, 42], np.float64(0.1668878688190108))","([27, 29, 41, 42], np.float64(32.180234336743965))"
11,"([19, 31, 46, 49], np.float64(20.762802954523572))","([19, 31, 46, 49], np.float64(0.13710796809001244))","([19, 31, 46, 49], np.float64(40.531936802891906))"
12,"([7, 15, 38, 43], np.float64(25.065647209985045))","([7, 15, 38, 43], np.float64(19.868431664874937))","([7, 15, 38, 43], np.float64(25.41877485093213))"
13,"([8, 10, 31, 41], np.float64(20.705025603472276))","([8, 10, 31, 41], np.float64(0.38402173307870247))","([8, 10, 31, 41], np.float64(7.519855857431404))"
14,"([16, 21, 40, 42], np.float64(21.626772803657687))","([16, 21, 40, 42], np.float64(0.0724009543098146))","([16, 21, 40, 42], np.float64(38.195447379371764))"
15,"([0, 11, 19, 21, 41], np.float64(21.523150034019178))","([19, 41], np.float64(50.218721412073556))","([11, 19, 21, 41], np.float64(46.60427052421264))"
16,"([4, 9, 19, 40], np.float64(22.73846981959994))","([4, 9, 19, 40], np.float64(0.06741627222042973))","([4, 9, 19, 40], np.float64(43.02791142638801))"
17,"([8, 18, 26, 27], np.float64(0.09529040516845637))","([8, 18, 26, 27], np.float64(0.0858296239883532))","([8, 18, 26, 27], np.float64(0.21963632019754095))"
18,"([6, 31, 39, 48], np.float64(14.837441483646849))","([6, 31], np.float64(55.551968013467324))","([39, 48], np.float64(49.28597186055374))"
19,"([0, 2, 19, 32], np.float64(16.851259053650477))","([0, 2, 19, 32], np.float64(0.13158720810485652))","([0, 2, 19, 32], np.float64(42.552930442810705))"
20,"([4, 7, 15, 28], np.float64(23.60353517977935))","([4, 7, 15, 28], np.float64(7.99874285825221))","([4, 7, 15, 28], np.float64(24.663267347392175))"
