run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(91), np.int64(101), np.int64(162)], np.float64(9.334285189880264))","([np.int64(91), np.int64(101), np.int64(162)], np.float64(4.906722772287729))","([np.int64(91), np.int64(101), np.int64(162)], np.float64(4.5184641272773804))","([np.int64(91), np.int64(101), np.int64(162)], np.float64(6.539201487544961))","([np.int64(91), np.int64(101)], np.float64(17.556415650986164))"
1,"([], np.float64(29.91800410140159))","([np.int64(8), np.int64(75), np.int64(113)], np.float64(0.03885356086076594))","([np.int64(8), np.int64(75), np.int64(113)], np.float64(1.3599066087426512))","([np.int64(8), np.int64(11), np.int64(44), np.int64(75), np.int64(113), np.int64(202)], np.float64(7.9494030555275765))","([np.int64(8), np.int64(113), np.int64(121), np.int64(149), np.int64(213)], np.float64(20.871247222075247))"
2,"([np.int64(23), np.int64(78), np.int64(210)], np.float64(0.8300570218507515))","([np.int64(23), np.int64(78), np.int64(210)], np.float64(0.10008594548725254))","([np.int64(23), np.int64(78), np.int64(210)], np.float64(1.4447248485512205))","([np.int64(23), np.int64(78), np.int64(210)], np.float64(4.125912976496802))","([], np.float64(25.89555661245816))"
3,"([], np.float64(27.420879528608552))","([np.int64(110), np.int64(173), np.int64(227)], np.float64(0.10503055418845343))","([np.int64(110), np.int64(173), np.int64(227)], np.float64(1.2676996731678767))","([np.int64(13), np.int64(110), np.int64(173), np.int64(227)], np.float64(5.257196956810556))","([np.int64(110), np.int64(173)], np.float64(12.45511343173809))"
4,"([np.int64(17), np.int64(70), np.int64(240)], np.float64(1.0399163731870489))","([np.int64(17), np.int64(70), np.int64(240), np.int64(248)], np.float64(0.43011714101163945))","([np.int64(17), np.int64(70), np.int64(240)], np.float64(1.9110223746553137))","([np.int64(17), np.int64(70), np.int64(223), np.int64(240)], np.float64(4.818205127325986))","([np.int64(240)], np.float64(37.17319296562745))"
5,"([np.int64(143), np.int64(198), np.int64(206)], np.float64(4.764670866543359))","([np.int64(143), np.int64(198), np.int64(206)], np.float64(0.03168739769511304))","([np.int64(143), np.int64(198), np.int64(206)], np.float64(2.1874949964034083))","([np.int64(8), np.int64(18), np.int64(29), np.int64(48), np.int64(101), np.int64(114), np.int64(143), np.int64(198), np.int64(206)], np.float64(10.93109478858763))","([], np.float64(27.746711828466704))"
6,"([np.int64(2), np.int64(9), np.int64(12), np.int64(13), np.int64(15), np.int64(26), np.int64(27), np.int64(41), np.int64(46), np.int64(54), np.int64(82), np.int64(106), np.int64(109), np.int64(124), np.int64(131), np.int64(140), np.int64(147), np.int64(153), np.int64(160), np.int64(163), np.int64(166), np.int64(170), np.int64(189), np.int64(190), np.int64(192), np.int64(193), np.int64(195), np.int64(196), np.int64(202), np.int64(205), np.int64(207), np.int64(209), np.int64(219), np.int64(223), np.int64(227), np.int64(228), np.int64(231), np.int64(235), np.int64(245), np.int64(249)], np.float64(0.37327286068894006))","([np.int64(13), np.int64(82), np.int64(209)], np.float64(0.0919084222351883))","([np.int64(13), np.int64(82), np.int64(209)], np.float64(0.49136575250750636))","([np.int64(13), np.int64(54), np.int64(82), np.int64(190), np.int64(197), np.int64(209)], np.float64(5.713187921039959))","([np.int64(13)], np.float64(38.01721889932801))"
7,"([np.int64(94), np.int64(158), np.int64(178)], np.float64(0.7116562896405308))","([np.int64(94), np.int64(158), np.int64(178)], np.float64(0.6663980767788202))","([np.int64(94), np.int64(158), np.int64(178)], np.float64(1.3622517939802037))","([np.int64(3), np.int64(13), np.int64(94), np.int64(150), np.int64(158), np.int64(166), np.int64(178)], np.float64(9.201192954953232))","([np.int64(94), np.int64(158)], np.float64(16.43017574177098))"
8,"([], np.float64(28.328787251640954))","([np.int64(67), np.int64(81), np.int64(128)], np.float64(0.3731216827674245))","([np.int64(67), np.int64(81), np.int64(128)], np.float64(4.142278383599021))","([np.int64(67), np.int64(81), np.int64(128)], np.float64(8.067513811852644))","([np.int64(67), np.int64(81), np.int64(149), np.int64(154)], np.float64(21.622110078497062))"
9,"([np.int64(17), np.int64(107), np.int64(150), np.int64(175)], np.float64(1.231739421715342))","([np.int64(17), np.int64(107), np.int64(175), np.int64(198)], np.float64(0.2690166459918707))","([np.int64(17), np.int64(107), np.int64(175)], np.float64(1.5165576243520464))","([np.int64(17), np.int64(107), np.int64(175)], np.float64(4.937193535273275))","([np.int64(17), np.int64(45), np.int64(107), np.int64(145), np.int64(167), np.int64(175)], np.float64(9.95593348214418))"
10,"([np.int64(80), np.int64(87), np.int64(233)], np.float64(0.750231150075387))","([np.int64(80), np.int64(87), np.int64(223), np.int64(233)], np.float64(0.3183748595706165))","([np.int64(80), np.int64(87), np.int64(92), np.int64(233)], np.float64(0.9574556763792309))","([np.int64(4), np.int64(72), np.int64(80), np.int64(87), np.int64(233), np.int64(239)], np.float64(5.701365570485497))","([np.int64(80), np.int64(233)], np.float64(17.49930306736528))"
11,"([np.int64(8), np.int64(23), np.int64(169)], np.float64(20.053904109899328))","([np.int64(8), np.int64(23), np.int64(169)], np.float64(0.6047951921208546))","([np.int64(8), np.int64(23), np.int64(169)], np.float64(1.959810619225723))","([np.int64(8), np.int64(23), np.int64(56), np.int64(100), np.int64(169), np.int64(176), np.int64(208)], np.float64(8.108604532728464))","([], np.float64(27.8067504158627))"
12,"([np.int64(63), np.int64(64), np.int64(65)], np.float64(3.5891013269467344))","([np.int64(63), np.int64(64), np.int64(65)], np.float64(0.053224209253613396))","([np.int64(63), np.int64(64), np.int64(65)], np.float64(0.7307724999684181))","([np.int64(63), np.int64(64), np.int64(65), np.int64(157), np.int64(174), np.int64(219), np.int64(231)], np.float64(6.423492603140878))","([np.int64(64), np.int64(65), np.int64(174), np.int64(219)], np.float64(20.93913330006336))"
13,"([np.int64(46), np.int64(71), np.int64(90), np.int64(101)], np.float64(0.7890611253434477))","([np.int64(71), np.int64(90), np.int64(101)], np.float64(2.6511329934657106))","([np.int64(71), np.int64(90), np.int64(101)], np.float64(2.698342044438183))","([np.int64(71), np.int64(72), np.int64(90), np.int64(101), np.int64(108), np.int64(210)], np.float64(7.49632647497702))","([np.int64(71), np.int64(90), np.int64(97), np.int64(101), np.int64(138)], np.float64(6.475345438528498))"
14,"([np.int64(16), np.int64(21), np.int64(78)], np.float64(1.5645062320124619))","([np.int64(16), np.int64(21), np.int64(78), np.int64(233)], np.float64(0.18127664015511433))","([np.int64(16), np.int64(21), np.int64(78)], np.float64(1.8111616868365572))","([np.int64(16), np.int64(21), np.int64(73), np.int64(78), np.int64(164), np.int64(221)], np.float64(9.35583438285158))","([np.int64(78)], np.float64(28.514785416291698))"
15,"([np.int64(8), np.int64(10), np.int64(217)], np.float64(0.6243374042527509))","([np.int64(8), np.int64(10), np.int64(217)], np.float64(0.06081357366342369))","([np.int64(8), np.int64(10), np.int64(217)], np.float64(1.070871352494489))","([np.int64(8), np.int64(10), np.int64(182), np.int64(217)], np.float64(4.6353575460450935))","([np.int64(217)], np.float64(36.64004993368921))"
16,"([np.int64(23), np.int64(25), np.int64(38), np.int64(39), np.int64(73), np.int64(100), np.int64(156), np.int64(171), np.int64(198), np.int64(211), np.int64(237), np.int64(242)], np.float64(0.2808722416283698))","([np.int64(25), np.int64(73), np.int64(171)], np.float64(0.9248214627136229))","([np.int64(25), np.int64(73), np.int64(171)], np.float64(1.4152138543662105))","([np.int64(25), np.int64(73), np.int64(171)], np.float64(3.069713830075104))","([np.int64(25), np.int64(73), np.int64(109), np.int64(153), np.int64(163), np.int64(171), np.int64(200)], np.float64(9.87116966106796))"
17,"([np.int64(2), np.int64(3), np.int64(4), np.int64(10), np.int64(30), np.int64(34), np.int64(36), np.int64(41), np.int64(47), np.int64(56), np.int64(64), np.int64(65), np.int64(76), np.int64(90), np.int64(93), np.int64(94), np.int64(97), np.int64(99), np.int64(100), np.int64(112), np.int64(113), np.int64(124), np.int64(125), np.int64(131), np.int64(132), np.int64(139), np.int64(145), np.int64(168), np.int64(175), np.int64(196), np.int64(200), np.int64(204), np.int64(213), np.int64(214), np.int64(225), np.int64(232), np.int64(233), np.int64(238), np.int64(239), np.int64(246)], np.float64(0.7343364953388685))","([np.int64(65), np.int64(112), np.int64(168)], np.float64(0.0366756757945163))","([np.int64(65), np.int64(112), np.int64(168)], np.float64(1.6130500582184626))","([np.int64(64), np.int64(65), np.int64(109), np.int64(112), np.int64(168)], np.float64(6.478243992359917))","([np.int64(65)], np.float64(33.07705092536064))"
18,"([np.int64(10), np.int64(50), np.int64(170)], np.float64(3.4387402392489914))","([np.int64(10), np.int64(50), np.int64(170), np.int64(205)], np.float64(0.12105609324309313))","([np.int64(10), np.int64(50), np.int64(170)], np.float64(1.5042636014640638))","([np.int64(10), np.int64(50), np.int64(66), np.int64(170), np.int64(242)], np.float64(6.056137563811768))","([np.int64(10), np.int64(50), np.int64(66), np.int64(105)], np.float64(19.265312526292437))"
