run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([], np.float64(9.293271398062487))","([np.int64(243)], np.float64(0.04737706648786213))","([np.int64(243)], np.float64(0.14130981214651947))","([np.int64(32), np.int64(189), np.int64(227), np.int64(243)], np.float64(0.6457298382479544))","([np.int64(243)], np.float64(1.0820329020783566))"
1,"([np.int64(4), np.int64(9), np.int64(32), np.int64(34), np.int64(35), np.int64(38), np.int64(51), np.int64(52), np.int64(55), np.int64(57), np.int64(58), np.int64(63), np.int64(67), np.int64(68), np.int64(82), np.int64(87), np.int64(92), np.int64(100), np.int64(102), np.int64(110), np.int64(114), np.int64(116), np.int64(119), np.int64(127), np.int64(155), np.int64(162), np.int64(164), np.int64(174), np.int64(180), np.int64(190), np.int64(192), np.int64(196), np.int64(203), np.int64(204), np.int64(213), np.int64(218), np.int64(232), np.int64(243), np.int64(245)], np.float64(0.4206330017945608))","([np.int64(55)], np.float64(0.021011967587960985))","([np.int64(55)], np.float64(0.2835634493208445))","([np.int64(55), np.int64(58), np.int64(74), np.int64(115), np.int64(244)], np.float64(0.6591783093434567))","([np.int64(55), np.int64(95), np.int64(98)], np.float64(1.093252875478376))"
2,"([], np.float64(9.014672365499749))","([np.int64(182)], np.float64(0.05209477191125615))","([np.int64(182)], np.float64(0.2946335884908486))","([np.int64(10), np.int64(28), np.int64(72), np.int64(182)], np.float64(0.752439576672858))","([np.int64(182)], np.float64(0.9171377237739089))"
3,"([], np.float64(9.347298200569519))","([np.int64(203)], np.float64(0.15429750422511415))","([np.int64(203)], np.float64(0.3546833226334255))","([np.int64(1), np.int64(81), np.int64(83), np.int64(115), np.int64(116), np.int64(165), np.int64(203)], np.float64(0.78913669760277))","([np.int64(203)], np.float64(1.2776163091634638))"
4,"([np.int64(122)], np.float64(1.5635319428140988))","([np.int64(122), np.int64(248)], np.float64(0.07395733098646909))","([np.int64(122)], np.float64(0.21079891663224057))","([np.int64(122)], np.float64(0.6791833664937019))","([np.int64(122), np.int64(176), np.int64(226), np.int64(248)], np.float64(0.9380074062218551))"
5,"([np.int64(34)], np.float64(3.4465827287683206))","([np.int64(34)], np.float64(0.03453207912737171))","([np.int64(34), np.int64(192)], np.float64(0.19624511469170777))","([np.int64(34), np.int64(114), np.int64(232)], np.float64(0.6810439206534913))","([np.int64(34), np.int64(39), np.int64(80)], np.float64(0.9560330290871714))"
6,"([np.int64(21)], np.float64(2.7836229921055864))","([np.int64(21)], np.float64(0.14612028529199006))","([np.int64(21)], np.float64(0.22566878625961287))","([np.int64(21), np.int64(38), np.int64(108), np.int64(239)], np.float64(0.6716045380607021))","([np.int64(21), np.int64(75), np.int64(81), np.int64(228)], np.float64(0.6287036590268972))"
7,"([np.int64(180)], np.float64(2.3986401067979504))","([np.int64(180)], np.float64(0.1467770852227557))","([np.int64(180)], np.float64(0.2822867966521457))","([np.int64(139), np.int64(180)], np.float64(0.3583682933744459))","([np.int64(63), np.int64(139), np.int64(180), np.int64(194)], np.float64(0.8209715827289161))"
8,"([np.int64(69)], np.float64(2.3697080119052245))","([np.int64(69)], np.float64(0.05182892266240083))","([np.int64(69)], np.float64(0.4206803437449672))","([np.int64(69), np.int64(71)], np.float64(0.6950607227590813))","([np.int64(69), np.int64(124), np.int64(152)], np.float64(0.8815187236975371))"
9,"([np.int64(116), np.int64(198)], np.float64(0.6433252647704281))","([np.int64(116), np.int64(198)], np.float64(0.17138299420195535))","([np.int64(116), np.int64(198)], np.float64(0.36765980260856096))","([np.int64(13), np.int64(44), np.int64(71), np.int64(116), np.int64(133), np.int64(239), np.int64(247)], np.float64(1.0177728899692515))","([np.int64(116)], np.float64(1.3214874231673261))"
10,"([np.int64(131)], np.float64(0.4383800581035669))","([np.int64(131), np.int64(223)], np.float64(0.04480782184171841))","([np.int64(131)], np.float64(0.30766286995444486))","([np.int64(9), np.int64(82), np.int64(124), np.int64(131), np.int64(172)], np.float64(0.6694600682691368))","([np.int64(131), np.int64(243)], np.float64(0.8024157066859244))"
11,"([], np.float64(9.577494139252329))","([np.int64(4)], np.float64(0.06088354068429299))","([np.int64(4)], np.float64(0.36949388137036243))","([np.int64(4), np.int64(108), np.int64(145)], np.float64(0.8754185795997246))","([np.int64(4), np.int64(121), np.int64(232)], np.float64(1.3657134383762461))"
12,"([np.int64(43)], np.float64(0.323394816483118))","([np.int64(43)], np.float64(0.060302247512963966))","([np.int64(43)], np.float64(0.21994525178356214))","([np.int64(37), np.int64(43), np.int64(157), np.int64(216)], np.float64(0.434295911099568))","([np.int64(43), np.int64(63), np.int64(219)], np.float64(0.6063719352865432))"
13,"([np.int64(207)], np.float64(7.089306039223424))","([np.int64(207)], np.float64(0.11081586645025132))","([np.int64(207)], np.float64(0.4854916117091794))","([np.int64(118), np.int64(127), np.int64(207), np.int64(243)], np.float64(0.7271509075475708))","([np.int64(207), np.int64(249)], np.float64(0.9102617735081915))"
14,"([np.int64(122)], np.float64(2.1918954640553214))","([np.int64(122), np.int64(233)], np.float64(0.13191288698779852))","([np.int64(122)], np.float64(0.4472367275159303))","([np.int64(23), np.int64(122), np.int64(218)], np.float64(0.5386412350432128))","([np.int64(122), np.int64(209)], np.float64(0.6855710538996198))"
15,"([], np.float64(9.271403138851651))","([np.int64(237)], np.float64(0.005803635385166632))","([np.int64(237)], np.float64(0.23343051406113738))","([np.int64(96), np.int64(194), np.int64(237)], np.float64(0.607729617472292))","([np.int64(236), np.int64(237), np.int64(238), np.int64(247)], np.float64(1.4071038852893838))"
16,"([], np.float64(9.276717265498933))","([np.int64(154)], np.float64(0.06737197711572467))","([np.int64(154)], np.float64(0.40865963880732475))","([np.int64(19), np.int64(95), np.int64(154)], np.float64(0.5283367107933712))","([np.int64(154), np.int64(156), np.int64(186), np.int64(208), np.int64(209), np.int64(248)], np.float64(0.9571375912840789))"
17,"([], np.float64(8.621642335842134))","([np.int64(58)], np.float64(0.02991852765576249))","([np.int64(58)], np.float64(0.19155716974195738))","([np.int64(58)], np.float64(0.6058277862570336))","([np.int64(58), np.int64(162)], np.float64(0.7770145339582412))"
18,"([np.int64(102)], np.float64(0.6467442448771799))","([np.int64(102), np.int64(205)], np.float64(0.02530357141063309))","([np.int64(102)], np.float64(0.1429154041618308))","([np.int64(102), np.int64(160), np.int64(248)], np.float64(0.5092401141128813))","([np.int64(102), np.int64(160)], np.float64(1.0779109033443488))"
