run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(31), np.int64(207), np.int64(220), np.int64(237), np.int64(239)], np.float64(25.703693240941284))","([np.int64(31), np.int64(207), np.int64(220), np.int64(237), np.int64(239)], np.float64(0.7943396190894826))","([np.int64(31), np.int64(207), np.int64(220), np.int64(237), np.int64(239)], np.float64(23.498099090207877))","([np.int64(31), np.int64(41), np.int64(207), np.int64(220), np.int64(239)], np.float64(19.90531986713557))","([np.int64(220)], np.float64(64.20957795076146))"
1,"([np.int64(4), np.int64(38), np.int64(57), np.int64(62), np.int64(64), np.int64(66), np.int64(73), np.int64(87), np.int64(102), np.int64(115), np.int64(121), np.int64(168), np.int64(181), np.int64(183), np.int64(184), np.int64(202), np.int64(233), np.int64(245)], np.float64(1.7039235888859143))","([np.int64(4), np.int64(181), np.int64(183), np.int64(202), np.int64(233)], np.float64(4.589353684011588))","([np.int64(4), np.int64(181), np.int64(202), np.int64(233)], np.float64(22.145211009069868))","([np.int64(4), np.int64(142), np.int64(175), np.int64(202), np.int64(233)], np.float64(25.98910162276089))","([np.int64(181), np.int64(233)], np.float64(55.30248712873737))"
2,"([np.int64(0), np.int64(9), np.int64(53), np.int64(164), np.int64(169), np.int64(223)], np.float64(2.598746598648122))","([np.int64(9), np.int64(53), np.int64(164), np.int64(169), np.int64(223)], np.float64(0.10755730620894306))","([np.int64(9), np.int64(53), np.int64(169), np.int64(223)], np.float64(25.80455212152623))","([np.int64(9), np.int64(46), np.int64(53), np.int64(113), np.int64(169), np.int64(223), np.int64(239)], np.float64(23.828982268229492))","([np.int64(53), np.int64(190), np.int64(223)], np.float64(44.64939703226143))"
3,"([np.int64(15), np.int64(138), np.int64(148), np.int64(190), np.int64(219), np.int64(224)], np.float64(2.3605747580193848))","([np.int64(15), np.int64(138), np.int64(148), np.int64(219), np.int64(224)], np.float64(0.1338138730100161))","([np.int64(15), np.int64(138), np.int64(148), np.int64(219), np.int64(224)], np.float64(22.23651054969025))","([np.int64(15), np.int64(22), np.int64(127), np.int64(138), np.int64(148), np.int64(224)], np.float64(18.79796906164498))","([np.int64(15), np.int64(54), np.int64(76), np.int64(148), np.int64(236)], np.float64(54.530899951852064))"
4,"([np.int64(1), np.int64(6), np.int64(8), np.int64(22), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(37), np.int64(39), np.int64(40), np.int64(41), np.int64(48), np.int64(52), np.int64(55), np.int64(57), np.int64(59), np.int64(60), np.int64(68), np.int64(82), np.int64(95), np.int64(97), np.int64(102), np.int64(103), np.int64(109), np.int64(120), np.int64(125), np.int64(127), np.int64(130), np.int64(131), np.int64(134), np.int64(137), np.int64(139), np.int64(140), np.int64(149), np.int64(150), np.int64(151), np.int64(153), np.int64(155), np.int64(158), np.int64(167), np.int64(177), np.int64(179), np.int64(181), np.int64(184), np.int64(189), np.int64(191), np.int64(192), np.int64(194), np.int64(199), np.int64(210), np.int64(217), np.int64(230), np.int64(231), np.int64(239), np.int64(242), np.int64(243)], np.float64(1.3692852158309132))","([np.int64(55), np.int64(59), np.int64(139), np.int64(181), np.int64(239)], np.float64(0.22265876799204504))","([np.int64(55), np.int64(59), np.int64(139), np.int64(181), np.int64(239)], np.float64(6.521278942389934))","([np.int64(55), np.int64(59), np.int64(139), np.int64(181), np.int64(239)], np.float64(11.182933123606686))","([], np.float64(42.33213248414935))"
5,"([np.int64(28), np.int64(52), np.int64(53), np.int64(73), np.int64(166), np.int64(170), np.int64(198), np.int64(242)], np.float64(1.5862681108343297))","([np.int64(52), np.int64(73), np.int64(166), np.int64(170), np.int64(242)], np.float64(0.04966136387233438))","([np.int64(73), np.int64(166), np.int64(170)], np.float64(42.33840404976126))","([np.int64(71), np.int64(160), np.int64(166), np.int64(170), np.int64(242)], np.float64(26.77568586949811))","([np.int64(166), np.int64(211), np.int64(242)], np.float64(42.230265183221725))"
6,"([np.int64(15), np.int64(18), np.int64(21), np.int64(25), np.int64(27), np.int64(31), np.int64(41), np.int64(42), np.int64(67), np.int64(83), np.int64(85), np.int64(91), np.int64(102), np.int64(105), np.int64(130), np.int64(140), np.int64(141), np.int64(146), np.int64(156), np.int64(157), np.int64(163), np.int64(168), np.int64(172), np.int64(182), np.int64(188), np.int64(195), np.int64(202), np.int64(205), np.int64(207), np.int64(212), np.int64(218), np.int64(228), np.int64(231), np.int64(235), np.int64(237)], np.float64(0.8122939902928943))","([np.int64(41), np.int64(105), np.int64(130), np.int64(168), np.int64(205)], np.float64(1.0235110949033694))","([np.int64(41), np.int64(105), np.int64(130), np.int64(168), np.int64(205)], np.float64(7.122948842853737))","([np.int64(41), np.int64(42), np.int64(92), np.int64(105), np.int64(130), np.int64(141), np.int64(146), np.int64(168), np.int64(205), np.int64(212), np.int64(222)], np.float64(22.718054428081086))","([], np.float64(42.5755324077744))"
7,"([np.int64(9), np.int64(67), np.int64(130), np.int64(162), np.int64(215), np.int64(241)], np.float64(2.4808593857130616))","([np.int64(9), np.int64(67), np.int64(162), np.int64(215), np.int64(241)], np.float64(0.20666780729630163))","([np.int64(9), np.int64(67), np.int64(162), np.int64(215), np.int64(241)], np.float64(11.526966975062756))","([np.int64(9), np.int64(67), np.int64(122), np.int64(130), np.int64(131), np.int64(162), np.int64(215), np.int64(241)], np.float64(16.2627272827991))","([], np.float64(44.56033626816167))"
8,"([np.int64(59), np.int64(188), np.int64(192), np.int64(205), np.int64(238)], np.float64(2.736316107572844))","([np.int64(59), np.int64(188), np.int64(192), np.int64(205), np.int64(238)], np.float64(1.4230233268490349))","([np.int64(188), np.int64(192), np.int64(205), np.int64(238)], np.float64(34.63602019143147))","([np.int64(62), np.int64(117), np.int64(188), np.int64(192), np.int64(238)], np.float64(27.608855630909538))","([np.int64(188), np.int64(238)], np.float64(44.132011371003806))"
9,"([np.int64(15), np.int64(91), np.int64(115), np.int64(121), np.int64(125), np.int64(197), np.int64(198)], np.float64(1.6562078107843918))","([np.int64(15), np.int64(115), np.int64(121), np.int64(125), np.int64(197), np.int64(198)], np.float64(0.5092325475338998))","([np.int64(15), np.int64(115), np.int64(121), np.int64(125), np.int64(197)], np.float64(8.7349746316136))","([np.int64(13), np.int64(15), np.int64(115), np.int64(121), np.int64(125)], np.float64(17.923417011372077))","([np.int64(125)], np.float64(60.84599881951163))"
