run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(23.02796186350276))","([2, 3, 13, 15], np.float64(0.0612063232450848))","([2, 3, 13, 15], np.float64(50.22662854137759))"
2,"([10, 22, 30, 39], np.float64(42.96109354007419))","([10, 22, 30, 39], np.float64(51.87113117377479))","([22, 39], np.float64(61.1297206782893))"
3,"([0, 4, 5, 27], np.float64(16.485645907731886))","([0, 4, 5, 27], np.float64(38.75901425715018))","([], np.float64(54.436971264520615))"
4,"([14, 34, 38, 49], np.float64(21.335298722729227))","([14, 34, 38, 49], np.float64(0.25892185042463134))","([14, 34, 38, 49], np.float64(39.594859126186215))"
5,"([2, 11, 15, 36], np.float64(24.850930667149353))","([2, 11, 15, 36], np.float64(0.0226228087148165))","([15], np.float64(57.06058392118632))"
6,"([5, 17, 41, 44], np.float64(21.28295747862407))","([5, 17, 41, 44], np.float64(0.04673046152579323))","([], np.float64(58.98500323091329))"
7,"([13, 17, 29, 45], np.float64(26.613019780852415))","([13, 17, 29, 45], np.float64(32.00468885101311))","([29, 45], np.float64(55.2657362259131))"
8,"([10, 19, 37, 48], np.float64(23.193961616620122))","([], np.float64(62.348240165597204))","([10, 19, 37, 48], np.float64(0.22258377944562655))"
9,"([11, 36, 38, 44], np.float64(24.232623655062664))","([11, 36, 38, 44], np.float64(18.11853618933457))","([11, 36, 38, 44], np.float64(45.87491119623142))"
10,"([27, 29, 41, 42], np.float64(30.444794016295837))","([27, 29, 41, 42], np.float64(28.4800649784121))","([27, 29, 41, 42], np.float64(41.954936177423356))"
11,"([19, 31, 46, 49], np.float64(21.48581894751372))","([19, 31, 46, 49], np.float64(0.06574713600860549))","([31, 49], np.float64(47.479530119991324))"
12,"([7, 15, 38, 43], np.float64(24.352024770185135))","([7, 15, 38, 43], np.float64(23.445558694526497))","([7, 15, 38, 43], np.float64(49.44522101979718))"
13,"([8, 10, 31, 41], np.float64(22.994722188059107))","([8, 10, 31, 41], np.float64(20.234104461610784))","([], np.float64(58.263895818321245))"
14,"([16, 21, 40, 42], np.float64(24.979595117832755))","([21, 40], np.float64(51.87770144811558))","([21, 40], np.float64(48.03658707023326))"
15,"([11, 19, 21, 41], np.float64(21.611138641997155))","([11, 19, 21, 41], np.float64(20.353198881383793))","([11, 19, 21, 41], np.float64(42.46823665881081))"
16,"([4, 9, 19, 40], np.float64(23.72696915133377))","([19, 40], np.float64(48.82915823999133))","([4, 9, 19, 40], np.float64(37.88686560910735))"
17,"([8, 18, 26, 27], np.float64(34.404116866311675))","([8, 18, 26, 27], np.float64(0.26707178677324345))","([8, 27], np.float64(58.68928751448401))"
18,"([6, 31, 39, 48], np.float64(24.44213318625572))","([6, 31, 39, 48], np.float64(32.17324460754642))","([6, 31, 39, 48], np.float64(0.22661586578966172))"
19,"([0, 2, 19, 32], np.float64(22.596851776657626))","([0, 2, 19, 32], np.float64(16.24349811845072))","([0, 2, 19, 32], np.float64(45.12898357676635))"
20,"([4, 7, 15, 28], np.float64(23.624256948854505))","([4, 7, 15, 28], np.float64(24.564185249238655))","([4, 7, 15, 28], np.float64(44.92698836013749))"
21,"([13, 15, 30, 41], np.float64(21.324711640441095))","([13, 15, 30, 41], np.float64(31.867351242821897))","([13, 15, 30, 41], np.float64(40.277864286856406))"
22,"([4, 6, 11, 46], np.float64(22.129628234227734))","([4, 6, 11, 46], np.float64(22.98796574674281))","([], np.float64(54.51439053355673))"
23,"([0, 6, 31, 42], np.float64(15.868236660694912))","([0, 6, 31, 42], np.float64(39.97010323958509))","([0, 6, 31, 42], np.float64(48.10189741535994))"
24,"([1, 8, 14, 37], np.float64(23.18644611633898))","([1, 8, 14, 37], np.float64(0.06255416114275973))","([1, 8, 14, 37], np.float64(45.110598021154146))"
25,"([2, 13, 20, 26], np.float64(33.66757993330203))","([2, 13, 20, 26], np.float64(37.197341894413064))","([2, 13, 20, 26], np.float64(52.1862046147877))"
26,"([25, 38, 47, 48], np.float64(22.77747243137174))","([25, 38, 47, 48], np.float64(0.30979262640806515))","([], np.float64(60.6509815594534))"
27,"([6, 9, 19, 44], np.float64(15.82543978226824))","([6, 9, 19, 44], np.float64(37.149410222928395))","([], np.float64(52.54442327791605))"
28,"([19, 35, 38, 44], np.float64(22.755545001105553))","([19, 35, 38, 44], np.float64(0.3602366643964092))","([19, 35, 38, 44], np.float64(34.36878197404156))"
29,"([8, 14, 38, 41], np.float64(24.65830674163114))","([8, 14, 38, 41], np.float64(24.311968359073347))","([14, 41], np.float64(49.571077711079035))"
30,"([20, 21, 34, 35], np.float64(15.930584104932018))","([20, 21, 34, 35], np.float64(0.15255956796879655))","([21, 35], np.float64(48.39545662054213))"
31,"([13, 26, 28, 37], np.float64(26.763666117666546))","([13, 26, 28, 37], np.float64(0.5119668031828435))","([13, 26, 28, 37], np.float64(48.84416319779998))"
32,"([8, 9, 26, 37], np.float64(24.148358738873576))","([8, 9, 26, 37], np.float64(0.1545102667406448))","([8, 9, 26, 37], np.float64(53.71347500183385))"
33,"([5, 23, 44, 45], np.float64(23.917178258630344))","([23, 44], np.float64(56.18916784919362))","([23, 44], np.float64(48.752950258676414))"
