run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(21.168755117553726))","([2, 3, 13, 15], np.float64(0.04670763144587261))","([2, 3, 13, 15], np.float64(0.05453963483659375))"
2,"([10, 22, 30, 39], np.float64(15.888536678760877))","([10, 22, 30, 39], np.float64(0.04803676275487855))","([10, 22, 30, 39], np.float64(27.744210494221836))"
3,"([0, 4, 5, 27], np.float64(22.3349012068296))","([0, 4, 5, 27], np.float64(0.03594603180900571))","([0, 4, 5, 27], np.float64(27.015879742313565))"
4,"([14, 34, 38, 49], np.float64(22.42824645309605))","([14, 34, 38, 49], np.float64(0.10557270909434499))","([14, 49], np.float64(50.80494772678502))"
5,"([2, 11, 15, 36], np.float64(0.126034912485696))","([2, 11, 15, 36], np.float64(12.209744547231866))","([2, 11, 15, 36], np.float64(0.18456612681230267))"
6,"([5, 17, 41, 44], np.float64(14.581492909238767))","([5, 17, 41, 44], np.float64(0.03962534123194473))","([5, 17, 41, 44], np.float64(0.13145330342581704))"
7,"([13, 17, 29, 45], np.float64(26.172100717121932))","([13, 17, 29, 45], np.float64(0.06876809645939799))","([13, 17, 29, 45], np.float64(0.14736572883528937))"
8,"([10, 19, 37, 48], np.float64(23.239888840729183))","([10, 19, 37, 48], np.float64(0.07307019768528648))","([10, 19, 37, 48], np.float64(1.9249357972892367))"
9,"([11, 36, 38, 44], np.float64(31.336894965764202))","([11, 36, 38, 44], np.float64(23.191889306751268))","([11, 36, 38, 44], np.float64(0.22374426213004472))"
10,"([27, 29, 41, 42], np.float64(22.5656830221235))","([27, 29, 41, 42], np.float64(0.0634824840694064))","([27, 29], np.float64(51.201415484966766))"
11,"([19, 31, 46, 49], np.float64(20.735791535336528))","([19, 31, 46, 49], np.float64(0.10216419027297928))","([19, 31, 46, 49], np.float64(22.171995791733725))"
12,"([7, 15, 38, 43], np.float64(17.003953523704826))","([7, 15, 38, 43], np.float64(0.06927872039183403))","([7, 15, 38, 43], np.float64(34.23847364097928))"
13,"([8, 10, 31, 41], np.float64(21.920305360657515))","([8, 10, 31, 41], np.float64(39.67744413873283))","([8, 10, 31, 41], np.float64(31.304498059318))"
14,"([16, 21, 40, 42], np.float64(22.431720599592783))","([16, 21, 40, 42], np.float64(0.06227376863054003))","([16, 21, 40, 42], np.float64(24.60356788065355))"
15,"([11, 19, 21, 41], np.float64(14.235837854168578))","([11, 19, 21, 41], np.float64(0.17310893376406564))","([19, 41], np.float64(54.85819562225134))"
16,"([4, 9, 19, 40], np.float64(0.10279137591160678))","([4, 9, 19, 40], np.float64(0.06797823736810772))","([4, 9, 19, 40], np.float64(0.27815763351683465))"
17,"([8, 18, 26, 27], np.float64(26.799119369596404))","([8, 18, 26, 27], np.float64(0.11670621402736063))","([8, 18, 26, 27], np.float64(0.14932600570205393))"
18,"([6, 31, 39, 48], np.float64(14.992892268795455))","([6, 31], np.float64(56.02661581833019))","([6, 31, 39, 48], np.float64(0.1326552902590038))"
19,"([0, 2, 19, 32], np.float64(22.83420287780243))","([0, 2, 19, 32], np.float64(2.2303278923076912))","([0, 2, 19, 32], np.float64(0.07459644722049447))"
20,"([4, 7, 15, 28], np.float64(23.579011314209712))","([4, 7, 15, 28], np.float64(0.22576478630366045))","([4, 7, 15, 28], np.float64(0.3148465157177514))"
21,"([13, 15, 30, 41], np.float64(13.777370086666354))","([13, 15, 30, 41], np.float64(0.04312559753980911))","([13, 15, 30, 41], np.float64(0.22198140513808134))"
22,"([4, 6, 11, 46], np.float64(23.277566906272078))","([4, 6, 11, 46], np.float64(0.07135629560844928))","([4, 6, 11, 46], np.float64(24.868118047776772))"
23,"([0, 6, 31, 42], np.float64(14.306466848876614))","([0, 6, 31, 42], np.float64(0.08898104710952194))","([0, 6, 31, 42], np.float64(0.15592649856804894))"
24,"([1, 8, 14, 37], np.float64(22.38061834898966))","([1, 8, 14, 37], np.float64(0.3094224241577816))","([1, 8, 14, 37], np.float64(0.25231361019916904))"
25,"([2, 13, 20, 26], np.float64(23.739772728357252))","([2, 13, 20, 26], np.float64(32.49432634769485))","([2, 13, 20, 26], np.float64(11.686734568490088))"
26,"([38, 47], np.float64(49.03560015497537))","([25, 38, 47, 48], np.float64(0.07512159892839346))","([25, 38, 47, 48], np.float64(48.02972403690915))"
27,"([6, 9, 19, 44], np.float64(23.84317302037675))","([6, 9, 19, 44], np.float64(0.02015768449088843))","([6, 9, 19, 44], np.float64(24.61642556361194))"
28,"([19, 35, 38, 44], np.float64(22.6881975073885))","([19, 35, 38, 44], np.float64(22.955445270474538))","([19, 35, 38, 44], np.float64(42.38114247785603))"
29,"([8, 14, 38, 41], np.float64(16.408003108154762))","([8, 14, 38, 41], np.float64(0.08116038080686698))","([8, 38], np.float64(47.86748715162987))"
30,"([20, 21, 34, 35], np.float64(21.65986564347212))","([20, 21, 34, 35], np.float64(0.044832647274990894))","([20, 21, 34, 35], np.float64(27.890142418463036))"
31,"([13, 26, 28, 37], np.float64(16.834579375446364))","([13, 26, 28, 37], np.float64(20.528543575070522))","([13, 26], np.float64(58.26939307529386))"
32,"([8, 9, 26, 37], np.float64(15.53659374794707))","([8, 9, 26, 37], np.float64(0.168942324419996))","([8, 9, 26, 37], np.float64(0.147145920325267))"
33,"([5, 19, 23, 44, 45], np.float64(23.73695506990173))","([5, 23, 44, 45], np.float64(0.08025600841274315))","([5, 23, 44, 45], np.float64(32.39015615696854))"
34,"([2, 11, 21, 24], np.float64(20.13259843168207))","([2, 11, 21, 24], np.float64(0.02814347911732333))","([2, 11, 21, 24], np.float64(3.380449799305645))"
35,"([7, 30, 47, 49], np.float64(24.93705328778181))","([7, 30, 47, 49], np.float64(0.061608021255703076))","([7, 30, 47, 49], np.float64(0.11591799675478151))"
36,"([11, 17, 35, 41], np.float64(15.047328587011648))","([11, 17, 35, 41], np.float64(0.033586681941326066))","([11, 17, 35, 41], np.float64(0.08731024448429522))"
37,"([4, 15, 24, 44], np.float64(15.871384002403767))","([4, 15, 24, 44], np.float64(0.04614508557595637))","([4, 15, 24, 44], np.float64(0.5048973362998395))"
38,"([20, 25, 26, 28], np.float64(14.842935118499737))","([20, 25, 26, 28], np.float64(0.13205211102174708))","([20, 25, 26, 28], np.float64(12.514389017846714))"
39,"([5, 21, 25, 43], np.float64(21.400523137915727))","([5, 21, 25, 43], np.float64(0.9316102104572735))","([], np.float64(60.878932082756))"
40,"([29, 33, 35, 44], np.float64(20.570127829813604))","([29, 33, 35, 44], np.float64(0.06274409293835036))","([29, 44], np.float64(52.03105110220163))"
41,"([3, 6, 11, 14], np.float64(15.884193334500019))","([3, 6, 11, 14], np.float64(25.41563371247489))","([3, 6, 11, 14], np.float64(0.14900653886173126))"
42,"([6, 15, 43, 49], np.float64(15.797915877793017))","([6, 15, 43, 49], np.float64(0.08833343634492917))","([6, 15, 43, 49], np.float64(27.804302022343858))"
43,"([24, 30, 35, 45], np.float64(30.878473044949857))","([24, 30, 35, 45], np.float64(0.06326899292044684))","([24, 30, 35, 45], np.float64(41.69927123429066))"
44,"([16, 22, 38, 46], np.float64(21.272285706432676))","([16, 38], np.float64(56.80946803946585))","([16, 22, 38, 46], np.float64(0.13480465516157822))"
45,"([8, 19, 26, 45], np.float64(23.401057263517462))","([8, 19, 26, 45], np.float64(0.044681672337033844))","([8, 19, 26, 45], np.float64(50.33991743481872))"
46,"([0, 10, 15, 16], np.float64(21.066087458241405))","([0, 10, 15, 16], np.float64(0.06748895265067947))","([0, 10, 15, 16], np.float64(31.313756628330555))"
47,"([1, 10, 13, 48], np.float64(23.384418281431522))","([1, 10, 13, 48], np.float64(18.850827721451903))","([10, 48], np.float64(53.7018190300637))"
48,"([0, 20, 24, 42], np.float64(21.941787281889056))","([0, 20, 24, 42], np.float64(0.03050104411517373))","([0, 20, 24, 42], np.float64(0.019820683915265116))"
49,"([0, 21, 26, 30], np.float64(0.11855196706858277))","([0, 21, 26, 30], np.float64(0.1252576753186262))","([0, 21, 26, 30], np.float64(0.18285289903409596))"
