run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
0,"([0, 1, 3, 4, 6, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 25, 26, 28, 30, 31, 32, 34, 35, 36, 37, 38, 43, 44, 45, 46, 47, 49], np.float64(2389143.4848048748))","([11, 26, 29, 32, 36, 42], np.float64(2402352.285961839))","([17, 33, 45, 49], np.float64(2408968.2826530337))"
1,"([2, 3, 13, 15], np.float64(13.718952962280941))","([2, 3, 13, 15], np.float64(23.391517760845883))","([2, 3, 13, 15], np.float64(29.146197099031944))"
2,"([10, 22, 30, 39], np.float64(16.21255963943785))","([10, 22, 30, 39], np.float64(0.17051150623165923))","([10, 22, 30, 39], np.float64(54.311262818978356))"
3,"([0, 4, 5, 27], np.float64(22.02512569391573))","([0, 4, 5, 27], np.float64(18.36638981884662))","([0, 4, 5, 27], np.float64(36.1254656829623))"
4,"([14, 34, 38, 49], np.float64(23.387212543014165))","([14, 34, 38, 49], np.float64(5.86261625840124))","([14, 34, 38, 49], np.float64(0.18765018947270845))"
5,"([2, 11, 15, 36], np.float64(23.648436023256313))","([2, 11, 15, 36], np.float64(4.757532486734172))","([2, 11, 15, 36], np.float64(0.2764150363223773))"
6,"([5, 17, 41, 44], np.float64(21.158746250020958))","([5, 17, 41, 44], np.float64(0.11070592186004745))","([5, 17, 41, 44], np.float64(0.14905232490879108))"
7,"([13, 17, 29, 45], np.float64(18.05087537513563))","([13, 17, 29, 45], np.float64(18.038147103734634))","([13, 17, 29, 45], np.float64(42.58768700776015))"
8,"([10, 19, 37, 48], np.float64(22.89292083567739))","([10, 19, 37, 48], np.float64(0.05841583864889887))","([10, 19, 37, 48], np.float64(41.529213368124495))"
9,"([11, 36, 38, 44], np.float64(23.610794246977704))","([11, 36, 38, 44], np.float64(0.057514699024544334))","([11, 36, 38, 44], np.float64(0.15539489253665983))"
10,"([27, 29, 41, 42], np.float64(38.83514201087877))","([27, 29, 41, 42], np.float64(0.06268137946157205))","([27, 29, 41, 42], np.float64(32.180675366247705))"
11,"([19, 31, 46, 49], np.float64(21.937662679546676))","([19, 31, 46, 49], np.float64(8.767744608805923))","([19, 31, 46, 49], np.float64(0.12127526587436091))"
12,"([7, 15, 38, 43], np.float64(24.283745833203188))","([7, 15, 38, 43], np.float64(0.10908460564385243))","([7, 15, 38, 43], np.float64(0.19491389779488288))"
13,"([8, 41], np.float64(49.74571232157977))","([8, 10, 31, 41], np.float64(22.67282874960735))","([8, 10, 31, 41], np.float64(0.1301794202853006))"
14,"([16, 21, 40, 42], np.float64(0.08004639156775066))","([16, 21, 40, 42], np.float64(13.572023735938165))","([16, 21, 40, 42], np.float64(26.62208459605859))"
15,"([11, 19, 21, 41], np.float64(20.714724939549818))","([11, 19, 21, 41], np.float64(40.484960751158795))","([11, 19, 21, 41], np.float64(39.230625410371545))"
16,"([4, 9, 19, 40], np.float64(23.837567786268195))","([4, 9, 19, 40], np.float64(0.029818115052489574))","([4, 9, 19, 40], np.float64(32.05603676166095))"
17,"([8, 18, 26, 27], np.float64(17.889749388018974))","([8, 18, 26, 27], np.float64(28.90597779386945))","([8, 18, 26, 27], np.float64(0.16809986258604398))"
18,"([6, 31, 39, 48], np.float64(40.11401792792644))","([6, 31, 39, 48], np.float64(0.7509272798273924))","([6, 31, 39, 48], np.float64(39.34608452736304))"
19,"([0, 2, 19, 32], np.float64(22.17252479321198))","([0, 2, 19, 32], np.float64(28.039091732529066))","([19, 32], np.float64(51.50884975320713))"
20,"([4, 7, 15, 28], np.float64(23.713630080042414))","([4, 7, 15, 28], np.float64(0.1021922635026085))","([4, 7, 15, 28], np.float64(45.73654541548058))"
21,"([13, 15, 30, 41], np.float64(20.96976696393387))","([13, 15, 30, 41], np.float64(0.08443484205317069))","([13, 15, 30, 41], np.float64(40.3055472961427))"
22,"([4, 6, 11, 46], np.float64(22.83865120484337))","([4, 6, 11, 46], np.float64(0.04523735580036482))","([4, 6, 11, 46], np.float64(30.852676670626114))"
23,"([0, 6, 31, 42], np.float64(21.22710492590716))","([0, 6, 31, 42], np.float64(0.07511075140853676))","([0, 6, 31, 42], np.float64(31.2164715762306))"
24,"([1, 8, 14, 37], np.float64(30.37091130697499))","([1, 8, 14, 37], np.float64(0.09826442617097794))","([1, 8, 14, 37], np.float64(38.68459016169706))"
25,"([2, 13, 20, 22, 26], np.float64(23.97493899564263))","([2, 13, 20, 26], np.float64(0.14036497655186692))","([2, 13, 20, 26], np.float64(59.40055620867842))"
26,"([25, 38, 47, 48], np.float64(15.451837168567945))","([25, 38, 47, 48], np.float64(0.32339164655991876))","([25, 38, 47, 48], np.float64(5.520779472623258))"
27,"([6, 9, 19, 44], np.float64(23.769771290812294))","([6, 9, 19, 44], np.float64(0.02101244465284016))","([6, 9, 19, 44], np.float64(38.16233431652447))"
28,"([19, 35, 38, 44], np.float64(23.229812370658223))","([19, 35, 38, 44], np.float64(0.03405168423799586))","([], np.float64(54.52692472249181))"
29,"([8, 14, 38, 41], np.float64(16.075662256214102))","([8, 14, 38, 41], np.float64(38.760717375404866))","([8, 14, 38, 41], np.float64(1.42919018626792))"
30,"([20, 21, 34, 35], np.float64(22.19970188781847))","([20, 21, 34, 35], np.float64(0.09068287484942118))","([20, 34], np.float64(47.55481720968218))"
31,"([13, 26, 28, 37], np.float64(25.92456493804259))","([13, 26, 28, 37], np.float64(0.0704213529861046))","([13, 26, 28, 37], np.float64(0.3134841922850168))"
32,"([8, 9, 26, 37], np.float64(23.556808145226757))","([8, 9, 26, 37], np.float64(0.12215402291514947))","([8, 37], np.float64(56.17923918136784))"
33,"([5, 23, 44, 45], np.float64(23.843999676944538))","([5, 23, 44, 45], np.float64(0.11091414018515575))","([5, 23, 44, 45], np.float64(42.089952955362705))"
34,"([2, 4, 11, 21, 24], np.float64(20.199446657959847))","([2, 11, 21, 24], np.float64(0.023408993745815523))","([2, 11, 21, 24], np.float64(32.13962048335769))"
