run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(22.288187036625278))","([2, 3, 13, 15], np.float64(18.844158598577508))","([3, 15], np.float64(56.35848048265665))"
2,"([10, 22, 30, 39], np.float64(23.295496140046634))","([10, 22, 30, 39], np.float64(0.10462966748999535))","([10, 22, 30, 39], np.float64(0.24327810732224225))"
3,"([0, 4, 5, 27], np.float64(29.764996163562916))","([0, 4, 5, 27], np.float64(0.12314970921349806))","([], np.float64(54.412036201004106))"
4,"([0, 14, 34, 38, 49], np.float64(37.26160875761951))","([], np.float64(53.97674243011692))","([14, 34, 38, 49], np.float64(33.78814920064583))"
5,"([2, 11, 15, 36], np.float64(41.90438989827892))","([11, 36], np.float64(53.266075455594866))","([2, 11, 15, 36], np.float64(37.96596817321704))"
6,"([5, 17, 41, 44], np.float64(21.159543818913306))","([5, 17, 41, 44], np.float64(17.37758612215383))","([17, 41], np.float64(53.3750931204013))"
7,"([13, 17, 29, 45], np.float64(27.469059831594407))","([13, 17, 29, 45], np.float64(22.972947477676197))","([13, 17, 29, 45], np.float64(55.1219123990182))"
8,"([10, 19, 37, 48], np.float64(24.170636576741913))","([10, 19, 37, 48], np.float64(0.06543814984866492))","([10, 19, 37, 48], np.float64(0.21370915126952084))"
9,"([11, 36, 38, 44], np.float64(16.27784945684852))","([11, 36, 38, 44], np.float64(19.387176715993157))","([11, 36, 38, 44], np.float64(38.296460983122806))"
10,"([27, 29, 41, 42], np.float64(14.986757418297715))","([27, 29, 41, 42], np.float64(12.714767213703748))","([], np.float64(55.563934297613535))"
11,"([19, 31, 46, 49], np.float64(27.838449690442854))","([19, 31, 46, 49], np.float64(0.06597533771201047))","([19, 31, 46, 49], np.float64(34.68048533910417))"
12,"([7, 15, 38, 43], np.float64(0.1440039991424672))","([7, 8, 15, 38, 43], np.float64(40.50251975809097))","([7, 15, 38, 43], np.float64(42.31203399857749))"
13,"([8, 10, 31, 41], np.float64(21.975357289295708))","([8, 10, 31, 41], np.float64(24.29431093075542))","([8, 41], np.float64(54.13951314335612))"
14,"([16, 21, 40, 42], np.float64(14.86381059236122))","([16, 21, 40, 42], np.float64(26.276940078969677))","([16, 21, 40, 42], np.float64(38.91382954975414))"
15,"([11, 19, 21, 41], np.float64(14.360318585579046))","([11, 19, 21, 41], np.float64(0.033636818261008214))","([11, 19, 21, 41], np.float64(0.13015907728347312))"
16,"([4, 9, 19, 40], np.float64(23.59715794771078))","([4, 9, 19, 40], np.float64(0.14680217449198185))","([4, 9, 19, 40], np.float64(37.207339230462594))"
17,"([8, 18, 26, 27], np.float64(25.646623000793863))","([8, 18, 26, 27], np.float64(25.43145912918078))","([8, 18, 26, 27], np.float64(47.38415789691452))"
18,"([6, 31, 39, 48], np.float64(14.790414107777611))","([6, 31, 39, 48], np.float64(0.05203672196352323))","([6, 31, 39, 48], np.float64(38.12361378887724))"
19,"([0, 2, 19, 32], np.float64(23.710621132612506))","([0, 2, 19, 32], np.float64(0.048389066591633285))","([0, 2, 19, 32], np.float64(42.300638664293146))"
20,"([4, 7, 15, 28], np.float64(24.32112392377108))","([4, 7, 15, 28], np.float64(8.09571233991754))","([4, 7, 15, 28], np.float64(43.574372899105526))"
21,"([13, 15, 30, 41], np.float64(21.181856388479467))","([13, 15, 30, 41], np.float64(24.744094822615004))","([13, 15, 30, 41], np.float64(45.632456962775414))"
22,"([4, 6, 11, 46], np.float64(15.27621851324926))","([4, 6, 11, 46], np.float64(22.455823563782015))","([4, 6, 11, 46], np.float64(45.60746099722369))"
23,"([0, 6, 31, 42], np.float64(22.841460288938965))","([0, 6, 31, 42], np.float64(0.03308647919248877))","([0, 31], np.float64(46.13804310788992))"
24,"([1, 8, 14, 37, 45], np.float64(22.640163513289686))","([1, 8, 14, 37], np.float64(0.07771187462695431))","([1, 8, 14, 37], np.float64(30.70726228507987))"
25,"([2, 13, 20, 26], np.float64(24.472929549040266))","([2, 13, 20, 26], np.float64(0.08677309637981902))","([2, 13, 20, 26], np.float64(51.7544867929413))"
26,"([25, 38, 47, 48], np.float64(15.000449527923335))","([25, 38, 47, 48], np.float64(0.02239615724470969))","([25, 38, 47, 48], np.float64(40.53511703902362))"
27,"([6, 9, 19, 44], np.float64(23.0974874317984))","([6, 9, 19, 44], np.float64(0.0969575803824186))","([6, 19], np.float64(50.944905651715644))"
28,"([19, 35, 38, 44], np.float64(30.24692859119813))","([19, 35, 38, 44], np.float64(0.04063253091628189))","([19, 35, 38, 44], np.float64(35.69438374468912))"
29,"([8, 14, 38, 41], np.float64(23.491470711402908))","([8, 14, 38, 41], np.float64(40.26515403318705))","([], np.float64(56.716116918819054))"
30,"([20, 21, 34, 35], np.float64(22.26675770716555))","([7, 20, 21, 34, 35], np.float64(37.5327497674028))","([20, 21, 34, 35], np.float64(43.00133698647574))"
31,"([13, 26, 28, 37], np.float64(25.974976650726475))","([13, 26, 28, 37], np.float64(0.052644973813709))","([13, 26, 28, 37], np.float64(41.432678824970324))"
32,"([8, 9, 26, 37], np.float64(23.647041275787522))","([8, 9, 26, 37], np.float64(16.105623786886316))","([8, 9, 26, 37], np.float64(42.9608200035679))"
33,"([5, 23, 44, 45], np.float64(24.339584727251445))","([5, 23, 44, 45], np.float64(20.09899830906444))","([5, 23, 44, 45], np.float64(40.49339955644972))"
34,"([2, 11, 21, 24], np.float64(13.875740973332508))","([2, 11, 21, 24], np.float64(20.988988945518))","([2, 11, 21, 24], np.float64(35.08783360197078))"
35,"([7, 30, 47, 49], np.float64(17.7737921391256))","([7, 30, 47, 49], np.float64(0.19336672385298773))","([7, 30, 47, 49], np.float64(0.19566027079570988))"
36,"([11, 17, 35, 41], np.float64(22.35532230339128))","([11, 17, 35, 41], np.float64(26.972270587255395))","([11, 17, 35, 41], np.float64(39.95465107174228))"
37,"([4, 15, 24, 44], np.float64(15.526619358465567))","([4, 15, 24, 44], np.float64(23.302214016174002))","([4, 15, 24, 44], np.float64(0.1583978556904863))"
38,"([20, 25, 26, 28], np.float64(30.875079130324835))","([20, 25, 26, 28], np.float64(0.053561394170505094))","([20, 25, 26, 28], np.float64(25.27749575806546))"
39,"([5, 21, 25, 37, 43], np.float64(21.365578846783393))","([5, 21, 25, 43], np.float64(7.000147641920696))","([5, 21, 25, 43], np.float64(47.522292175182976))"
40,"([29, 33, 35, 44], np.float64(17.017729146356427))","([29, 33, 35, 44], np.float64(0.05752139011418336))","([29, 33, 35, 44], np.float64(0.1371072076367215))"
41,"([3, 6, 11, 14], np.float64(30.89535512616194))","([3, 6, 11, 14], np.float64(14.910991705026234))","([3, 6, 11, 14], np.float64(47.968087886464595))"
42,"([6, 15, 43, 49], np.float64(39.39396121748955))","([15, 43], np.float64(49.69940638917135))","([6, 15, 43, 49], np.float64(37.64073562678884))"
43,"([24, 30, 35, 45], np.float64(16.665148633052702))","([24, 30, 35, 45], np.float64(28.543371329570345))","([24, 30, 35, 45], np.float64(38.71511243433034))"
44,"([16, 22, 38, 46], np.float64(22.797462796256397))","([16, 22, 38, 46], np.float64(29.588196644737994))","([16, 38], np.float64(56.0154809862832))"
45,"([8, 19, 26, 45], np.float64(16.727933188035166))","([8, 19, 26, 45], np.float64(0.12539534116878653))","([8, 19, 26, 45], np.float64(31.805719864988237))"
46,"([0, 10, 15, 16], np.float64(15.582341527172506))","([0, 10, 15, 16], np.float64(0.0394722533881674))","([0, 10, 15, 16], np.float64(41.58000500708719))"
