run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([4, 5, 18, 29, 38, 40], 7.064421576178886)","([], 219.5897012671377)"
1,"([0, 7, 9, 39], 67.83866329950482)","([], 221.94974300684112)"
2,"([12, 26, 33, 36, 37, 44], 15.082916080461613)","([], 220.54941463259922)"
3,"([8, 14, 29, 43, 46, 49], 6.293419705179158)","([], 221.03192369769982)"
4,"([11, 16, 20, 37, 39, 49], 13.187119513037546)","([], 202.5407166517034)"
5,"([3, 9, 26, 40, 43, 45], 0.24878308074900343)","([], 233.7211266539844)"
6,"([1, 22, 32, 37, 40, 43], 103.59096343583838)","([22, 43], 225.19151153192365)"
7,"([9, 17, 25, 30, 38, 41], 13.418401177366905)","([48], 212.00383782558103)"
8,"([17, 21, 23, 31, 32, 42], 5.100899832502895)","([23], 202.2425836740146)"
9,"([5, 9, 10, 34, 37, 45], 13.752816308498975)","([10, 45], 212.2438137771954)"
10,"([12, 18, 21, 31, 44, 46], 0.0933218779635798)","([], 221.69088957863454)"
11,"([12, 18, 19, 20, 23, 40], 14.19815778734161)","([12], 216.1755476682926)"
12,"([4, 18, 25, 37, 43, 49], 12.913753425425002)","([18, 37], 214.8898334168282)"
13,"([3, 37, 38, 40, 46, 48], 5.578269045548903)","([40], 220.33835690441123)"
14,"([9, 15, 20, 34, 36, 39], 5.001177015754454)","([8], 201.82322722662758)"
15,"([3, 18, 21, 33, 38, 45], 7.105080941740386)","([38, 45], 213.2644410021953)"
16,"([5, 9, 15, 16, 27, 38], 13.27204142594515)","([], 215.92020826431235)"
17,"([10, 14, 34, 36, 45, 48], 6.988732705525506)","([44], 227.22322105164056)"
18,"([4, 5, 6, 12, 33, 44], 7.652690940384371)","([], 211.02162340519644)"
19,"([2, 18, 21, 41, 43, 44], 13.898231341102834)","([18, 43], 204.23406647672573)"
20,"([1, 5, 19, 31, 32, 44], 4.652816445481647)","([31, 44], 216.19430567666348)"
21,"([9, 12, 16, 23, 38, 46], 7.0635068388921365)","([16, 38], 200.78598192013632)"
22,"([5, 6, 9, 28, 38, 43], 6.872260291166722)","([28, 43], 200.20830269831447)"
