run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([0, 5, 7, 8, 20, 21, 31, 41], 0.18249562295976984)","([], 262.1742902821283)"
1,"([2, 18, 21, 26, 38, 42, 43, 48], 14.833995802937633)","([], 294.33165721955015)"
2,"([1, 7, 13, 14, 29, 42, 45, 49], 29.539594598557734)","([], 300.43658363053686)"
3,"([1, 3, 13, 20, 33, 41, 43, 45], 15.765010253434234)","([], 286.13257703771285)"
4,"([3, 6, 7, 21, 36, 41, 45], 90.2606744181258)","([], 305.36480466007583)"
5,"([0, 10, 26, 29, 31, 32], 108.48832865536423)","([], 274.6252609516764)"
6,"([4, 9, 10, 13, 16, 47], 79.08739537604619)","([], 289.2365221336262)"
7,"([8, 21, 26, 27, 33, 36, 40, 47], 7.5790063028130845)","([], 274.51085751213526)"
8,"([4, 8, 22, 30, 32, 35, 44, 45], 0.4326858299518348)","([], 287.8822610061411)"
9,"([9, 13, 17, 20, 36, 41, 43, 44], 98.90581945929323)","([13, 36], 275.38540725945114)"
10,"([10, 11, 12, 20, 26, 30, 31, 39, 43, 49], 113.95520634512513)","([], 273.4631442927253)"
11,"([14, 17, 28, 29, 36, 39, 42], 67.29560122436108)","([], 290.3866994742569)"
12,"([7, 10, 14, 23, 31, 37], 71.88943581497453)","([], 283.63268137202095)"
13,"([6, 22, 32, 37], 145.81496640618047)","([], 311.46730155655496)"
14,"([4, 7, 9, 13, 39], 161.59492325754348)","([], 289.0398138720771)"
15,"([10, 18, 26, 28, 32, 36], 70.58406286199673)","([43, 44], 256.1852444789016)"
16,"([0, 2, 5, 11, 13, 18, 22, 37], 14.083287420934019)","([], 301.595518015618)"
17,"([0, 11, 27, 32, 43, 44, 45], 181.752624478248)","([39], 286.1282221113995)"
18,"([18, 40, 44, 46], 146.44288739532692)","([], 296.6002908948615)"
19,"([1, 5, 16, 21, 24, 27, 37, 41], 93.85622645190661)","([], 283.91836150440747)"
20,"([3, 7, 15, 16, 17, 23, 31, 46], 14.991906307128152)","([7, 15], 287.46784769828554)"
21,"([3, 4, 6, 15, 32, 41, 43, 46], 17.363962811546493)","([], 325.1448282863077)"
22,"([7, 20, 21, 30, 41, 49], 81.18414381302647)","([], 273.4653349243657)"
23,"([11, 14, 16, 19, 25, 30, 36, 39], 8.14841005136489)","([], 326.2892406462907)"
24,"([3, 7, 10, 17, 19, 33], 78.90287178158272)","([], 281.02051146389726)"
25,"([1, 2, 5, 16, 32, 40, 42, 47], 27.210502609028612)","([], 304.18575062021637)"
26,"([1, 17, 28, 36, 38, 39, 46, 48], 6.711289126130342)","([36], 288.5321689327709)"
27,"([2, 8, 9, 10, 11, 37], 80.59679298719219)","([], 299.82684614206806)"
28,"([1, 2, 19, 20, 21, 47], 77.86531984758729)","([], 294.3372629032791)"
29,"([16, 21, 32, 34, 38, 40, 42], 94.96676665832823)","([], 304.4832997566788)"
30,"([4, 6, 13, 22, 23, 32, 44, 45], 15.142204805097064)","([], 291.6167650190515)"
