run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([7, 8, 10, 11, 17, 22, 24, 27, 32, 36, 44], 320.0315639585595)","([], 485.28273875251773)"
1,"([4, 5, 8, 9, 22, 24, 35, 48], 333.6534525862281)","([], 534.3672090213187)"
2,"([4, 9, 12, 16, 24, 27, 30, 34, 41, 43, 46, 48], 340.368883247071)","([12, 34], 465.070912466409)"
3,"([7, 16, 17, 22, 30, 35, 41, 42, 44, 46], 269.7946786635101)","([], 487.43441278889316)"
4,"([4, 6, 10, 11, 12, 17, 19, 26, 30], 294.66267441549746)","([], 527.2358880243427)"
5,"([3, 10, 18, 20, 45, 47, 48], 383.72779459115384)","([], 510.3806881652452)"
6,"([5, 7, 20, 24, 32, 33, 35, 45], 276.09434372578784)","([], 454.5141975122313)"
7,"([2, 4, 12, 13, 14, 15, 26, 46], 332.19786368569)","([], 503.26588233098096)"
8,"([0, 3, 5, 21, 37, 41], 362.9156882211454)","([], 515.9871336318337)"
9,"([6, 8, 14, 16, 17, 27, 29, 33, 35, 49], 410.18521365505967)","([6], 500.3716991451711)"
10,"([1, 6, 16, 19, 23, 25, 31, 38], 347.22014971622804)","([], 517.6973630983622)"
11,"([3, 9, 12, 20, 25, 31, 32, 33], 264.3142644584401)","([], 493.3908693650309)"
12,"([2, 6, 18, 23, 24, 30, 34, 36, 39, 43, 49], 387.805809945269)","([34, 43], 487.55058424041374)"
13,"([1, 8, 13, 14, 21, 23, 31, 43, 46], 319.5299463065051)","([14, 43], 461.6101219680069)"
14,"([12, 16, 21, 27, 29, 31, 32, 39, 40, 44, 49], 360.46339329429355)","([], 533.6131642172054)"
15,"([0, 2, 6, 7, 9, 10, 28, 41, 45], 419.1386405050522)","([], 545.5410301030759)"
16,"([9, 18, 22, 40, 41, 43, 45, 48, 49], 399.9776596385725)","([], 550.8042752220872)"
17,"([0, 9, 10, 22, 31, 35, 36, 40, 43, 44, 46, 47], 250.5220201693911)","([], 513.7760432391028)"
18,"([5, 6, 10, 14, 20, 28, 30, 31, 41, 48], 305.7948561004397)","([], 519.7840476546668)"
19,"([1, 3, 15, 24, 25, 29, 41, 42, 45], 329.66151216329143)","([], 513.7041299745999)"
20,"([2, 3, 8, 13, 14, 17, 19, 28, 36, 37, 41, 46], 258.11193073409913)","([], 512.9246118922543)"
21,"([8, 17, 18, 31, 33, 37, 40, 43], 377.9923806250244)","([], 480.2961161776615)"
22,"([3, 9, 10, 13, 18, 25, 44], 391.1242753077728)","([18], 515.4724851012134)"
23,"([0, 10, 13, 16, 17, 22, 28, 38], 328.64822972940095)","([], 513.371846624308)"
24,"([4, 5, 10, 25, 26, 27, 29, 30, 39, 41, 44, 46], 314.5824847692931)","([], 508.1793838438848)"
25,"([2, 3, 8, 20, 24, 25, 26, 32, 33, 35, 42, 45], 287.4992306437375)","([], 482.48863359900116)"
26,"([1, 12, 24, 27, 28, 32, 36, 38, 40, 42, 45], 322.20198990417055)","([], 482.44512410679596)"
27,"([1, 4, 8, 18, 32, 33, 38, 45], 319.89855481813163)","([], 517.1351202447576)"
