run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([3, 8, 11, 15, 26, 29, 37, 38, 41, 44, 49], 717.2291979819679)","([15], 751.2071505840187)"
1,"([9, 15, 18, 20, 24, 26, 28, 30, 41], 622.6294553502686)","([], 727.6270844232412)"
2,"([5, 24, 28, 29, 45, 49], 619.0178227913672)","([], 735.1009924887691)"
3,"([3, 12, 16, 18, 24, 27, 31, 33, 41], 702.7730343865925)","([], 802.0158443578064)"
4,"([2, 8, 14, 17, 18, 20, 24, 26, 28, 32, 37], 551.0481345719335)","([], 712.6069098038417)"
5,"([6, 16, 24, 38], 640.9450486226251)","([], 739.2258914896471)"
6,"([2, 3, 8, 15, 18, 19, 21, 27, 30, 31, 34, 42, 46, 49], 687.0202230183705)","([], 709.6177076959777)"
7,"([7, 10, 15, 24, 27, 34, 41, 45, 49], 669.7854040719691)","([], 767.745146778968)"
8,"([10, 14, 23, 26, 27, 29, 45, 47, 49], 601.1157161989087)","([], 718.8057759035197)"
9,"([4, 14, 19, 21, 25, 26, 27, 28, 34, 35, 42, 43, 45, 46], 635.0749561614729)","([], 736.3330431755803)"
10,"([8, 15, 19, 21, 27, 33, 40, 42, 44], 628.0015508064173)","([], 688.3249608870943)"
11,"([1, 5, 10, 37, 38, 42, 46], 713.8189000300758)","([], 745.57911744317)"
12,"([5, 12, 13, 22, 28, 29, 33, 38, 48], 539.3422103449743)","([], 722.8653968738303)"
13,"([2, 5, 8, 23, 34, 40, 47], 616.8786431704415)","([], 743.3980953863924)"
14,"([1, 8, 12, 13, 15, 23, 28, 30, 36], 622.9827118566805)","([], 762.7597392092371)"
15,"([7, 9, 23, 27, 28, 31, 34, 39, 44, 45], 623.9821001497703)","([], 764.6325951747517)"
16,"([0, 11, 12, 16, 17, 24, 30, 32, 47], 603.8800409216134)","([], 752.5950791308659)"
17,"([3, 8, 10, 14, 18, 22, 35, 38, 40, 47], 541.5513457429381)","([], 652.0481966423381)"
18,"([2, 4, 18, 21, 26, 28, 30, 32, 38, 43, 46], 573.1204368020768)","([], 731.3912125866237)"
19,"([0, 1, 6, 11, 14, 20, 28, 29, 42, 44, 45, 47], 594.9808537691313)","([], 688.2647843778881)"
20,"([8, 10, 13, 16, 18, 20, 23, 24, 27, 31, 32, 33, 35, 44, 45, 47], 612.5167535492452)","([], 737.9595725201145)"
21,"([1, 2, 7, 9, 13, 15, 16, 18, 23, 25, 30, 34, 42, 45, 47], 760.6129715351669)","([], 818.5490676167959)"
22,"([0, 3, 5, 8, 9, 16, 19, 24, 36, 37, 40, 43, 46, 49], 600.4030923581148)","([], 722.3098690772124)"
23,"([10, 11, 13, 14, 15, 16, 35, 40, 43], 633.9324163390816)","([], 696.4053004806195)"
24,"([0, 2, 6, 12, 13, 14, 16, 24, 27, 29, 34, 45, 48], 636.8996992224086)","([], 733.9892643253745)"
25,"([1, 11, 15, 16, 20, 25, 29, 30, 43, 49], 691.2105986790532)","([], 715.3932119980443)"
26,"([0, 3, 6, 7, 14, 16, 29, 33, 37, 39, 40, 43, 44], 626.8814857930597)","([], 675.4343888531448)"
27,"([2, 17, 18, 30, 39, 43], 658.3461490899316)","([], 737.1226918114216)"
28,"([0, 4, 5, 6, 9, 10, 14, 19, 22, 27, 29, 32, 41, 43], 599.1853617795067)","([], 675.6908246485202)"
