run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([8, 9, 16, 18, 26, 27, 34, 36, 43], 336.31747516568106)","([], 555.0484060033278)"
1,"([0, 2, 5, 11, 13, 18, 21, 28, 40, 48], 506.03842590725833)","([], 607.4058163900783)"
2,"([1, 6, 7, 10, 23, 28, 38, 39, 43], 404.44298055770895)","([], 592.2894758806187)"
3,"([0, 5, 17, 25, 28, 29, 30, 37, 44, 48], 478.25988715947346)","([], 603.8807926769282)"
4,"([1, 12, 15, 19, 24, 26, 33, 34], 343.5138647839278)","([], 572.5080069872355)"
5,"([3, 5, 18, 21, 24, 33, 34, 35, 41, 42, 43, 46, 48], 561.4309628033978)","([46], 594.9723945536215)"
6,"([0, 9, 15, 19, 30, 40, 41], 462.01001029079606)","([], 606.9646810290907)"
7,"([6, 9, 16, 28, 30, 32, 33, 37, 40, 42, 49], 476.341947666497)","([], 603.0023997547628)"
8,"([0, 11, 12, 18, 22, 24, 35, 37, 38, 39, 40, 44, 45], 409.3481702277267)","([], 549.378423947617)"
9,"([1, 4, 5, 7, 8, 15, 19, 20, 39, 47], 432.6041732442885)","([47], 576.8604749467636)"
10,"([2, 4, 6, 11, 12, 15, 22, 24, 36, 38, 39, 42], 330.5513568587978)","([], 554.3263846124531)"
11,"([4, 6, 13, 15, 24, 27, 28, 41, 43], 426.2428698343837)","([], 571.1941266099766)"
12,"([0, 3, 21, 22, 25, 31, 36, 44, 47, 49], 294.7286134139305)","([], 555.7804735580598)"
13,"([5, 14, 16, 17, 27, 37, 39, 41, 44], 460.8407198589805)","([], 572.7320280209892)"
14,"([0, 2, 3, 5, 19, 30], 426.39370109313984)","([], 586.0892172446999)"
15,"([5, 6, 7, 16, 22, 29, 33, 38, 44], 440.560749381977)","([], 542.7686056306885)"
16,"([6, 7, 9, 15, 16, 24, 26, 30, 42, 44], 458.21048731501577)","([], 569.9665725109818)"
17,"([1, 20, 22, 30, 31, 43, 47, 49], 446.3578810292372)","([], 573.9999821546944)"
18,"([0, 3, 4, 8, 10, 18, 20, 33, 37, 41, 47], 428.52986468046635)","([3], 589.8946065728567)"
19,"([5, 10, 11, 13, 16, 18, 24, 26, 30, 32, 39, 43], 386.5110666057742)","([], 545.365049809632)"
20,"([4, 6, 15, 16, 18, 19, 23, 29, 31, 34, 35, 39, 46], 519.5704475240202)","([], 578.5908389947978)"
21,"([2, 9, 16, 21, 22, 26, 30, 35, 36, 42, 48], 282.8552215219026)","([], 584.2504430266779)"
22,"([1, 3, 7, 10, 14, 24, 26, 29, 37], 366.899086458753)","([], 600.1783231889569)"
23,"([0, 11, 13, 14, 26, 29, 30, 39, 44, 47, 49], 378.903862016961)","([], 555.307927186935)"
24,"([5, 7, 9, 16, 29, 31, 41, 44], 350.18020642842424)","([], 555.7595648640498)"
25,"([1, 2, 4, 13, 14, 16, 19, 27, 41, 43, 44, 46, 49], 439.76838955969663)","([27, 49], 572.6794872889768)"
26,"([6, 13, 15, 26, 30, 33, 37, 38, 42, 48], 385.06348890916877)","([], 587.640589059193)"
27,"([6, 20, 23, 29, 31, 38], 508.97001173791705)","([], 564.9839121155983)"
28,"([0, 3, 9, 19, 22, 25, 26, 37, 38, 40, 42], 372.59551758052186)","([], 581.4378122487572)"
29,"([10, 12, 13, 15, 33, 36, 37, 49], 326.69852897969014)","([], 548.4839275908998)"
30,"([2, 3, 11, 14, 15, 19, 21, 26, 27, 35, 38, 39, 40, 47], 469.4695336283832)","([], 617.1152895803998)"
31,"([2, 3, 4, 20, 25, 30, 34, 38, 39, 44, 49], 396.727187508189)","([], 584.905410918327)"
32,"([3, 5, 10, 21, 24, 28, 34, 44], 381.9720781449627)","([], 604.1040185747328)"
33,"([11, 13, 14, 23, 35, 44, 45, 46, 49], 453.9452909828428)","([], 586.5871908983745)"
34,"([0, 4, 6, 14, 15, 22, 24, 25], 414.227189708897)","([], 614.6231493629664)"
35,"([1, 5, 10, 11, 16, 20, 21, 24, 28, 41, 44, 45], 502.3992449491754)","([], 583.2838803787732)"
36,"([3, 4, 15, 17, 33, 34, 39, 44, 49], 445.75392868743967)","([], 572.1038316984112)"
37,"([0, 8, 10, 21, 27, 31, 49], 424.6276717867892)","([], 599.9943914299555)"
38,"([9, 20, 25, 26, 34, 37, 39, 42, 48], 363.44308950920345)","([], 609.2732581235449)"
39,"([0, 1, 5, 11, 15, 27, 30, 31, 32, 36, 41, 43], 383.1005878740653)","([], 572.4306887963584)"
40,"([0, 3, 4, 7, 12, 13, 19, 27, 29, 32, 41, 42, 43, 44], 454.7161582030415)","([42], 597.6314703878056)"
41,"([5, 7, 10, 14, 16, 25, 36, 37, 42, 44], 382.23018687622726)","([], 565.3601144909678)"
42,"([5, 13, 15, 16, 23, 40, 41, 42], 448.19069346750643)","([], 569.3259772661249)"
43,"([7, 14, 25, 30, 37, 38, 41, 43, 46], 356.93456985475984)","([], 546.8482117278862)"
44,"([1, 12, 24, 28, 36, 38, 40, 42, 45], 418.15474842619045)","([], 638.637432614061)"
45,"([5, 16, 17, 21, 36, 38, 42, 44, 46], 419.8569144693657)","([], 544.2847492125287)"
46,"([14, 19, 23, 26, 27, 28, 32, 34, 36, 40, 45, 49], 385.6315126878069)","([], 566.1938675556313)"
47,"([3, 7, 11, 16, 18, 19, 23, 25, 28, 30, 32, 35, 36, 43], 467.92029082322904)","([], 584.2619683295864)"
48,"([1, 27, 33, 37, 42, 43, 49], 430.3979751507092)","([], 594.8113259292016)"
49,"([2, 6, 8, 11, 22, 27, 36, 37, 38, 47, 49], 349.3534378752821)","([], 604.250819506776)"
50,"([9, 12, 14, 22, 24, 29, 30, 32, 41, 42, 44, 49], 449.1487124212349)","([], 581.9573911154598)"
51,"([4, 10, 15, 22, 23, 24, 25, 29, 30, 35, 37], 414.10217764676275)","([], 600.2059808651817)"
52,"([2, 5, 6, 12, 18, 19, 36, 46], 403.2518959376555)","([], 574.3798180815551)"
53,"([1, 11, 22, 25, 28, 33, 44], 372.5240583124576)","([], 602.8515469321659)"
54,"([1, 3, 8, 17, 40, 41, 43], 380.3015274582093)","([], 528.1482333092027)"
55,"([6, 8, 13, 16, 23, 27, 28, 33, 34, 35, 39], 429.3121734046404)","([], 587.813505909716)"
56,"([13, 16, 29, 30], 502.6382368175108)","([], 574.3415156029356)"
57,"([7, 10, 24, 26, 29, 31, 32, 49], 443.6878090127094)","([], 537.8118164696575)"
