run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([0, 4, 9, 16, 20, 29, 32, 36, 38, 43, 45], 505.3559458616653)","([], 641.5251475516561)"
1,"([4, 6, 8, 13, 30, 35, 36, 43, 45, 49], 498.99510558223216)","([], 682.933590245936)"
2,"([2, 4, 6, 9, 13, 14, 17, 31, 36, 43], 574.9649411713456)","([], 617.8566738005155)"
3,"([0, 13, 14, 16, 17, 26, 37, 40], 537.7948539539688)","([], 647.3778032141272)"
4,"([3, 7, 8, 10, 12, 16, 18, 26, 28, 29, 38, 41, 43, 46], 551.8320366374927)","([], 659.5130195203377)"
5,"([10, 15, 16, 18, 19, 20, 25, 28, 40, 48], 545.1799595832424)","([], 710.5720714995027)"
6,"([3, 5, 6, 8, 10, 16, 21, 23, 26, 34, 38, 43, 47], 547.0850290563604)","([], 583.9120510133861)"
7,"([0, 3, 5, 10, 12, 14, 18, 27, 33, 40, 43], 566.8642323446129)","([18], 643.1271433592094)"
8,"([1, 2, 10, 17, 18, 26, 29, 30, 31, 41, 47, 49], 506.0144157078519)","([], 711.6759203136832)"
9,"([5, 6, 17, 24, 27, 34, 45, 46, 49], 513.7801523506442)","([], 621.7968040290165)"
10,"([0, 5, 14, 15, 16, 17, 22, 24, 37, 43, 45], 611.9298158954813)","([], 623.5229269621803)"
11,"([27, 43, 44, 45, 47, 49], 564.0385115126535)","([], 711.6647796222508)"
12,"([0, 14, 20, 24, 28, 30, 38, 48], 534.9293350359561)","([], 627.4629250090483)"
13,"([5, 7, 16, 27, 28, 34, 44, 45, 46], 487.1826947128427)","([], 666.0577681208954)"
14,"([2, 3, 6, 9, 10, 13, 15, 16, 34, 43, 48], 517.0453514055811)","([], 682.3093997762056)"
15,"([10, 26, 30, 32, 33, 35, 39, 44, 49], 570.2059136035201)","([], 698.0809739314378)"
16,"([5, 6, 13, 17, 18, 23, 24, 30, 32, 34, 39, 43, 45], 490.44614729733263)","([], 639.7789974666573)"
17,"([4, 7, 13, 16, 18, 25, 28, 35, 43], 580.2373912205513)","([], 707.5349931153381)"
18,"([3, 9, 10, 12, 14, 19, 20, 31, 37], 532.7940648555625)","([], 626.3248991759962)"
19,"([1, 3, 4, 13, 16, 27, 33, 34, 39], 583.1007636421065)","([], 687.0936289458914)"
20,"([0, 1, 9, 12, 13, 25, 26, 27, 28, 40, 42, 44, 49], 423.676498076841)","([], 627.02921104166)"
