run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([9, 12, 15, 20], 0.05019808735062256)","([9, 12], 138.99862855415245)"
1,"([20, 30, 36, 44], 0.11538065067462668)","([], 155.16042198457725)"
2,"([2, 12, 24, 38], 0.04460239904609244)","([2, 24], 144.28150851797204)"
3,"([15, 23, 32, 46], 0.19091249757583068)","([], 145.02662466331338)"
4,"([1, 4, 35, 39], 0.07992278124525537)","([], 142.153514579018)"
5,"([3, 5, 16, 35], 0.04338271080255077)","([3, 16], 137.92467211007897)"
6,"([10, 16, 31, 35], 7.076935136744382)","([16, 35], 136.64319293518346)"
7,"([0, 2, 15, 35], 0.07127545834024608)","([15, 35], 146.21306261557768)"
8,"([1, 7, 29, 33], 0.025577697543355527)","([29], 151.90869524908445)"
9,"([21, 40, 45, 47], 0.08399492284016373)","([40, 45], 139.98079449732316)"
10,"([3, 24, 29, 45], 7.70118271852564)","([24, 29], 146.89331331531912)"
11,"([14, 28, 35, 42], 0.09621465810798276)","([], 140.8506469235482)"
12,"([6, 25, 31, 39], 0.03924942418768138)","([], 149.0935372407857)"
13,"([2, 16, 39, 45], 0.13264244160230992)","([16, 45], 148.61501418405268)"
14,"([5, 6, 24, 33], 0.024986268249067387)","([6, 24], 130.61991190701255)"
15,"([7, 20, 41, 45], 0.07784826246306192)","([7, 20], 136.1006031382427)"
16,"([11, 32, 38, 43], 0.022670447007200088)","([], 137.70051378481065)"
17,"([13, 36, 40, 44], 0.1340655075790629)","([], 141.57853371327843)"
18,"([11, 18, 26, 29], 0.09190128755045214)","([18, 26], 136.40288618848496)"
19,"([16, 17, 42, 48], 0.16684808972314932)","([16, 42], 151.29100362209547)"
20,"([13, 15, 21, 36], 0.03471342912307652)","([13, 36], 150.68079172500143)"
21,"([2, 7, 19, 43], 0.047256072689030544)","([2, 7], 140.29857197807362)"
22,"([7, 19, 26, 29], 0.15165031417471045)","([26, 29], 133.5821335730623)"
23,"([12, 14, 23, 25], 0.016800736910754774)","([], 148.73465841477727)"
24,"([21, 32, 35, 43], 0.04935222174078527)","([], 147.35658699286108)"
