run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([4, 11, 16, 17, 27, 30, 31, 35, 41, 43], 302.04810160885296)","([], 470.5495674993945)"
1,"([1, 2, 5, 13, 17, 20, 30, 31, 39, 40, 47, 48], 264.8595998997552)","([], 433.3490272687495)"
2,"([2, 3, 4, 5, 31, 41, 42, 43], 235.71558999755072)","([], 453.14920803582925)"
3,"([3, 11, 13, 16, 18, 35, 37, 46, 48, 49], 202.89214276991856)","([], 445.73247617824313)"
4,"([6, 14, 15, 20, 25, 29, 30, 32, 36, 37, 49], 259.3573629045046)","([], 410.66969850344077)"
5,"([16, 19, 23, 24, 33, 35, 43, 45, 48], 185.58765285925267)","([24], 441.2267586841907)"
6,"([4, 5, 9, 11, 19, 26, 34, 43], 214.44766138649905)","([19, 43], 380.6002827785447)"
7,"([10, 12, 14, 28, 39, 44, 46], 248.12899589699066)","([], 402.37605063494027)"
8,"([3, 10, 12, 13, 14, 16, 18, 25, 38], 169.7719274955754)","([], 450.85131366410224)"
9,"([2, 17, 21, 27, 35, 37, 41, 44], 284.9054876817057)","([], 409.14335496817677)"
10,"([1, 8, 18, 19, 20, 21, 23, 25, 35, 45], 207.36235147128346)","([], 432.95465231790666)"
11,"([13, 14, 17, 25, 35, 41, 45, 49], 201.33421946320146)","([], 438.24501281921016)"
12,"([15, 17, 19, 31, 34, 35, 47, 49], 330.1637558452692)","([], 480.8501685524884)"
13,"([2, 5, 8, 29, 30, 33, 39, 48, 49], 255.5246581543372)","([], 439.9841363389571)"
14,"([3, 4, 6, 8, 12, 20, 21, 23, 27, 28], 220.573402401602)","([], 457.77969305860296)"
15,"([1, 5, 10, 33, 41, 45, 46, 48], 318.7769773218726)","([], 443.646368562843)"
16,"([4, 5, 10, 12, 18, 30, 37, 45], 254.3306443189739)","([], 435.68774637601723)"
17,"([2, 4, 27, 35, 41, 49], 224.59134939311414)","([], 414.19971488206846)"
18,"([14, 24, 30, 35, 36, 40, 45, 46], 286.3693215578808)","([], 416.9072107687625)"
19,"([13, 22, 23, 24, 25, 27, 31, 44, 49], 230.60846650156833)","([], 420.6777817040299)"
20,"([0, 1, 2, 7, 24, 28, 35, 38], 242.45066753172367)","([], 434.36001567394624)"
21,"([0, 5, 20, 25, 31, 43, 45], 220.7900522375253)","([], 398.8156806733854)"
22,"([0, 10, 11, 13, 15, 18, 19, 22, 26, 41, 43], 253.58257629923364)","([18], 448.6597813203753)"
23,"([15, 22, 32, 36, 37, 41, 42], 258.44738528664664)","([], 418.60125328836386)"
24,"([0, 2, 5, 12, 13, 21, 24, 29, 43, 44], 322.91428920574015)","([], 450.35324912915286)"
25,"([0, 5, 9, 17, 18, 20, 25, 32, 34, 45], 261.6597387080092)","([9], 417.1395850035718)"
26,"([12, 27, 31, 33, 38, 39, 44], 309.60831256728477)","([33, 38], 393.50390597876606)"
27,"([8, 12, 15, 18, 20, 24, 30, 35, 39, 43, 44], 269.48724188373285)","([], 468.6997244474058)"
28,"([6, 11, 19, 23, 39, 42, 43, 45], 199.51230867935357)","([6], 445.45606498394824)"
29,"([2, 7, 13, 21, 24, 30, 31, 32, 38, 40], 202.13744991736073)","([], 447.0869766981875)"
30,"([2, 4, 9, 10, 25, 28, 32, 36, 44, 48], 206.77260378668342)","([], 437.66642007136994)"
31,"([5, 6, 8, 10, 11, 15, 32, 39, 42, 43, 46], 237.35130662832597)","([], 414.6018704606419)"
32,"([2, 5, 11, 16, 18, 21, 22, 33, 37, 43], 244.56816883742985)","([], 434.70404134896)"
33,"([11, 18, 19, 22, 23, 27, 35, 38, 44], 317.7115520773236)","([], 467.58382976684084)"
34,"([6, 7, 19, 22, 23, 27, 37, 47, 48, 49], 263.82357271859564)","([], 434.8288150725029)"
35,"([0, 4, 7, 12, 15, 17, 33, 37, 39], 240.41666420164302)","([], 459.9664940834901)"
36,"([0, 10, 14, 24, 27, 28, 34, 36, 37, 43, 47, 48], 212.65101507002177)","([], 442.2680277579642)"
37,"([5, 10, 29, 32, 37, 49], 251.09257854930914)","([], 434.978060291388)"
38,"([0, 5, 15, 21, 27, 28, 29, 30, 38, 43, 45], 310.2132172331398)","([], 485.4619528094293)"
39,"([6, 12, 17, 19, 22, 24, 36, 40, 45], 262.10993213110083)","([], 488.4975965645415)"
40,"([10, 11, 13, 14, 17, 25, 47], 267.1908585844975)","([], 443.5393100657917)"
41,"([1, 4, 12, 16, 21, 26, 28, 42], 325.72690430119934)","([], 431.05170233865243)"
42,"([13, 22, 38, 39, 45, 47, 48, 49], 285.1134700682968)","([], 363.4437519269873)"
43,"([3, 9, 10, 23, 30, 39, 40, 48, 49], 242.33988390530135)","([], 426.113806708558)"
44,"([7, 18, 20, 28, 37, 42, 46], 334.531209527805)","([37, 42], 452.0687296696935)"
45,"([14, 21, 23, 24, 25, 29, 30, 47], 209.68005475451207)","([], 450.7714560600696)"
46,"([7, 15, 26, 28, 29, 39, 43, 46, 48], 224.8635183491598)","([26], 449.71417998596723)"
47,"([5, 7, 8, 9, 16, 31, 34, 36, 43, 45, 48], 279.5597607495722)","([], 459.0102736276499)"
48,"([8, 16, 23, 27, 28, 32, 36, 43, 44, 47, 49], 195.2368666192883)","([], 406.9143749804387)"
49,"([3, 8, 10, 18, 19, 27, 28, 35, 42, 43], 335.4807251484564)","([], 470.7231231393492)"
50,"([3, 13, 18, 31, 42, 45, 46, 49], 183.35340890531398)","([], 456.82490317929825)"
51,"([6, 14, 18, 28, 29, 33, 34, 35, 37, 43], 144.69110603181775)","([], 401.71356219924417)"
52,"([8, 9, 11, 17, 28, 39, 41, 43, 45, 48], 272.07975475527246)","([], 438.96265951688514)"
53,"([1, 7, 26, 27, 31, 34, 37, 38, 46], 213.2510887508919)","([], 398.1391197789443)"
54,"([4, 18, 22, 24, 25, 29, 37, 40], 305.77652938359654)","([18, 37], 466.52260134337763)"
55,"([2, 3, 4, 8, 15, 17, 29, 30, 37, 48], 336.36017520128235)","([], 494.3181134948986)"
56,"([0, 5, 20, 21, 31, 40], 270.5605541241483)","([], 424.63220636446505)"
57,"([2, 4, 7, 8, 14, 17, 28, 33, 34, 35, 36, 38, 40, 48], 293.0005596136479)","([], 430.1927784523602)"
58,"([0, 1, 4, 12, 23, 25, 33, 38, 43, 45], 253.0458176985961)","([], 432.77400258406794)"
59,"([2, 9, 10, 12, 18, 23, 26, 27, 28, 40, 43], 292.51183005521017)","([9], 445.2161262616763)"
60,"([0, 3, 14, 15, 21, 23, 26, 27, 33, 38, 39, 41, 47], 247.69790719473187)","([3], 401.9971223730188)"
61,"([8, 10, 11, 12, 16, 20, 34, 35], 233.4688654583235)","([], 452.84098973469645)"
62,"([3, 8, 9, 10, 16, 38], 296.87119107214846)","([], 447.3915110930746)"
63,"([15, 23, 24, 25, 33, 34, 36, 41, 45], 182.52315430530697)","([16, 18], 421.2395540669389)"
64,"([3, 4, 11, 21, 22, 23, 29, 33, 34, 36], 236.18390864705896)","([], 424.52573697844906)"
65,"([2, 5, 11, 12, 14, 17, 20, 27, 40, 49], 268.650598311535)","([], 423.31240510968934)"
66,"([1, 2, 5, 11, 31, 33, 40, 41, 49], 302.7455435741153)","([], 450.9487636895997)"
67,"([5, 6, 8, 10, 11, 13, 18, 20, 23, 24, 41, 49], 224.83863571362977)","([], 431.5287308926937)"
68,"([3, 5, 9, 10, 16, 18, 23, 24, 39], 248.1169235412309)","([18], 447.6177678701909)"
69,"([3, 4, 12, 16, 17, 20, 28, 30, 40, 45, 48], 183.81626845538406)","([], 440.5603155516382)"
70,"([10, 18, 22, 24, 32, 39, 42, 43, 47, 48, 49], 163.83239361028077)","([39, 47], 429.41461362833894)"
71,"([2, 11, 21, 23, 27, 33, 36, 41, 42], 167.58926255940094)","([21], 431.1560658421982)"
72,"([5, 7, 8, 15, 23, 25, 26, 35, 37, 38, 42], 226.49925839962557)","([35, 37], 430.29949797869057)"
73,"([3, 4, 8, 14, 16, 22, 36, 43, 45, 46], 125.59731717192516)","([], 477.89545634099807)"
74,"([3, 9, 14, 15, 16, 35, 41, 42, 43, 45, 47], 127.83865415490571)","([], 457.5115702072639)"
75,"([1, 3, 20, 26, 28, 33, 35, 38, 41, 42, 43, 49], 126.9489938674111)","([], 453.1213273196042)"
