run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([], 0.0009280463914526951)","([], 0.000928009054704193)"
1,"([], 0.001609623817486805)","([], 0.0016038231653459215)"
2,"([], 0.012643282495786114)","([], 0.012647315797914338)"
3,"([], 0.0036963212228455777)","([], 0.0037079913748797742)"
4,"([], 0.003260872653530811)","([], 0.0032489927837888732)"
5,"([], 0.0013050186265873287)","([], 0.0011803847723437233)"
6,"([], 0.0012087146300737842)","([], 0.0012114453228863201)"
7,"([], 0.0012001094436081686)","([], 0.001200037948908772)"
8,"([], 5.421222283912495e-06)","([], 5.043697586849328e-06)"
9,"([], 0.0034847920489780027)","([], 0.0031738280675442376)"
10,"([], 1.2374961144395791e-05)","([], 1.1859451546209682e-05)"
11,"([], 0.006371185954834324)","([], 0.006365662360043044)"
12,"([], 0.0010000500774538649)","([], 0.0010042920831674351)"
13,"([], 0.002264962572049459)","([], 0.002260965325073819)"
14,"([], 0.0006464632134549655)","([], 0.0006502480757846762)"
15,"([], 0.0020502657665844026)","([], 0.002053349732524856)"
16,"([], 0.0004884852387487849)","([], 0.00034226896149850203)"
17,"([46], 1.5704389224507428e-06)","([], 1.530775874395568e-06)"
18,"([], 0.003302543284892323)","([], 0.003313514342687063)"
19,"([], 0.0012782176445416682)","([], 0.001273070090646533)"
20,"([], 0.0005750274942331601)","([], 0.000575739865116498)"
21,"([], 0.0005837001787782661)","([], 0.0005836891085114898)"
22,"([], 0.0001088970399881796)","([], 0.00010883076854129037)"
23,"([], 0.00236637743062719)","([], 0.0023720634866732926)"
24,"([], 9.691206444362166e-05)","([], 9.716187817018859e-05)"
25,"([], 0.0013961942229450686)","([], 0.0013967672207491066)"
26,"([], 0.00018427609234542355)","([], 0.00018327454882269625)"
27,"([], 0.001816306858938979)","([], 0.00181638719491084)"
28,"([], 0.0004949197120151551)","([], 0.0004979892851020851)"
29,"([], 0.0024696852249678357)","([], 0.0024623380046701203)"
30,"([], 0.003496115695634808)","([], 0.003504811141062506)"
31,"([], 5.3728714727478005e-05)","([], 5.413433471272797e-05)"
32,"([], 0.00011657781391477551)","([], 0.00011828838733202521)"
33,"([], 0.000805552808442054)","([], 0.0008104631749617092)"
34,"([], 0.0007480261227690335)","([], 0.0008307043098199213)"
35,"([], 0.012162202546323053)","([], 0.012182290750437698)"
