run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([0, 4, 11, 15, 18, 19, 24, 26], 87.51975987560256)","([0, 11], 354.103641783454)"
1,"([0, 8, 16, 28, 37, 41], 257.06299495679525)","([], 372.8604855309597)"
2,"([1, 13, 19, 21, 36, 44, 49], 215.03496035482002)","([], 365.23746530117177)"
3,"([2, 9, 11, 13, 17, 24, 35, 39, 46], 159.39351698281746)","([2, 11], 341.33357011382515)"
4,"([10, 26, 29, 36, 39, 40, 49], 215.56285078094115)","([], 363.4549012608338)"
5,"([0, 11, 15, 22, 25, 26, 46, 49], 102.38332674155626)","([1, 5], 323.4672610895459)"
6,"([11, 16, 28, 29, 36, 38, 39, 49], 183.9711448088702)","([], 373.4712035651308)"
7,"([12, 19, 23, 24, 30, 31, 34, 40, 41, 47], 6.673156547837873)","([], 355.1536451467919)"
8,"([5, 13, 18, 29, 31, 33, 35, 40, 44, 45], 140.34906197637656)","([], 347.2958766917237)"
9,"([3, 6, 15, 17, 27, 40, 47, 49], 108.56182490841867)","([], 384.0027305465974)"
10,"([0, 7, 10, 15, 22, 23, 33, 38], 116.03402611722208)","([], 374.553404789325)"
11,"([5, 8, 13, 16, 22, 41, 45], 242.56142401497246)","([], 392.05859097406415)"
12,"([1, 16, 17, 30, 31, 33, 35, 37], 108.3400734946174)","([30], 349.7577212203352)"
13,"([5, 19, 21, 27, 33, 36, 38, 41, 45], 80.33131178354066)","([], 340.21852587737175)"
14,"([9, 15, 17, 21, 26, 27, 31, 35, 38, 48], 79.02445719821478)","([], 364.80406002527315)"
15,"([9, 19, 23, 25, 27, 34, 37, 43, 46, 49], 129.28957997327728)","([], 360.60289451413485)"
16,"([2, 8, 9, 19, 25, 30, 32, 41, 43, 46], 198.3019899359737)","([], 352.1478193700358)"
17,"([9, 14, 15, 19, 23, 26, 32, 33, 36], 97.87106002230541)","([], 381.8715081519112)"
18,"([1, 7, 8, 29, 45], 228.30605756858904)","([], 388.59380616418156)"
19,"([3, 7, 13, 19, 23, 25, 43, 48], 109.6485566114421)","([0], 363.22571980492216)"
20,"([1, 9, 18, 23, 24, 26, 28, 29, 31, 40, 43], 105.8907019109368)","([23, 43], 340.32563394494923)"
21,"([0, 1, 6, 13, 22, 24, 25, 34, 40, 41], 33.12234523431821)","([], 330.52770569558396)"
22,"([1, 7, 16, 17, 29, 40, 42, 43, 47], 177.40615624152792)","([], 350.33219202996025)"
23,"([6, 7, 14, 22, 27, 34, 35, 39, 41, 42, 47], 183.45349083963455)","([], 351.6607312339898)"
24,"([1, 7, 13, 19, 25, 29, 31, 33, 41, 44], 50.45603184721945)","([], 357.3241344850424)"
25,"([0, 2, 5, 8, 36, 37, 41, 46], 163.2471002005964)","([], 390.48908147814694)"
26,"([0, 13, 16, 17, 18, 26, 37, 44, 45, 47], 87.63853206271035)","([], 357.72762113117153)"
27,"([10, 12, 14, 17, 21, 23, 26, 31, 33, 40, 47], 75.28887985600453)","([], 356.5845999354138)"
28,"([6, 8, 13, 35, 39, 42, 44, 46], 100.89429074534145)","([], 348.09214868319185)"
29,"([3, 4, 8, 14, 19, 25, 35, 37], 202.8719255050284)","([3], 387.64235471740307)"
30,"([29, 31, 32, 36, 37, 42, 49], 187.9932963088542)","([], 351.4582254662404)"
31,"([2, 10, 16, 21, 26, 27, 42, 49], 124.59919225722415)","([], 367.8009009604009)"
32,"([7, 14, 15, 20, 28, 31, 33, 43, 45, 47], 63.16181522004011)","([], 344.05281924407257)"
33,"([6, 14, 16, 26, 31, 34, 35, 43], 122.04205643184088)","([], 338.3635399374635)"
34,"([2, 4, 12, 18, 23, 26, 33, 39], 112.26136424180844)","([], 359.9579810180097)"
35,"([1, 5, 6, 15, 18, 27, 29, 33, 41, 48, 49], 102.71067596936922)","([], 374.52426925120795)"
36,"([7, 12, 14, 16, 33, 39, 46, 47, 48], 134.8465817958408)","([], 356.09203584298496)"
37,"([0, 6, 12, 15, 23, 34, 49], 226.86779292001768)","([30, 33], 351.82393849264446)"
38,"([9, 10, 11, 14, 19, 21, 26, 36], 98.49307369148268)","([], 365.4618463250673)"
39,"([4, 5, 10, 14, 18, 19, 33, 35, 46, 49], 82.64894771163809)","([], 384.1456905893605)"
40,"([10, 17, 20, 33, 34, 35, 44, 45], 95.70749774216878)","([], 369.9862269245761)"
41,"([11, 14, 15, 17, 22, 35, 41, 47], 137.40212286570122)","([], 382.40674422365487)"
42,"([11, 12, 16, 28, 37, 40, 43, 46], 105.80970157390061)","([], 341.35744118444177)"
43,"([2, 8, 12, 23, 25, 34, 43, 44, 46, 48], 97.16697188382003)","([], 356.06683079590925)"
44,"([4, 7, 8, 11, 12, 30, 32, 36], 154.19104267518986)","([], 366.341351298962)"
45,"([1, 2, 17, 24, 33, 36, 37, 39, 44], 126.3661202460327)","([], 373.36067346448567)"
46,"([8, 15, 20, 21, 26, 28, 34, 49], 111.88129012713165)","([], 365.4144475489542)"
47,"([4, 10, 12, 13, 20, 26, 32, 35, 42], 90.79003009599094)","([12, 32], 371.57324465151896)"
48,"([6, 10, 35, 39, 41, 42], 143.9768009195367)","([], 335.25485210014995)"
49,"([0, 9, 11, 21, 22, 26, 30, 31, 34], 196.12247165074078)","([], 389.93724373927785)"
50,"([0, 5, 6, 25, 28, 34, 35, 36, 43, 49], 13.82154254942095)","([], 352.3922310460558)"
51,"([5, 13, 15, 22, 24, 26, 31, 35], 106.52793548800814)","([], 369.99974173543137)"
